patient_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
MMRF_1231,-0.68345094,-0.47635835,0.45344627,1.9619312,-1.2161909,0.40056247,-0.20628083,-0.20673518,-2.144135,-0.08546014,-1.2625073,1.4508733,2.129837,1.1861186,-0.27848017,0.76890135,0.8183937,0.8685519,0.7797783,0.27421933,0.17101766,0.79496574,1.177859,1.0952991,-1.0733879,0.9506425,-0.2755906,-0.64329255,0.9832533,-1.9848068,1.300227,0.11059469,-0.4442663,0.009467787,0.00094131473,0.6735245,0.3907319,-0.87914056,-2.088235,-0.52397984,-0.53323054,0.4698097,0.4343289,-0.29869857,-0.09207621,-0.09421318,0.1831072,-0.36866793,0.67154175,-0.936889,-0.23239402,0.67745286,-3.268222,-1.5759089,0.75822026,-1.2150751,1.9632218,-0.87392455,-0.123216175,-0.61699814,-0.62339747,0.4607847,-0.34761322,0.9679424,0.8659952,0.2792338,-0.80129266,0.26441202,-0.15712453,-1.1848277,-0.74132913,0.044411965,-1.2499086,0.886974,-0.39273188,2.0441628,0.70141494,-1.1596872,-0.46667638,1.2155437,2.4663293,-0.42168686,0.88326997,0.31075594,-0.042527087,-0.70974743,0.9954113,-0.70756835,-0.41331935,-0.45805326,0.8307092,0.020056177,-0.79076016,-1.0113337,0.23845638,-0.22497457,-0.67740023,1.3545817,0.2353121,-0.8410478,-2.2175982,1.4724613,0.102420256,0.32495674,-0.6710564,-0.29752383,-0.7814776,-0.5959581,1.1340414,1.0390266,-0.29530007,0.52533454,0.09067297,1.8634745,1.9625518,1.438176,-0.10825799,0.2108511,-0.08554167,0.1377989,-1.4252663,-0.21375038,0.1452694,0.005056288,-0.11066158,-1.022286,-0.7062436,-2.8338387
MMRF_1032,0.009667578,-0.26483417,0.12448194,0.642948,-0.108785704,-0.19765598,1.263213,0.61367816,-0.77539647,0.24365106,-0.28758314,-0.6827545,0.3464242,0.013150176,-1.1819133,-0.57428056,-0.47445357,-0.24509507,1.3460796,-1.4931763,0.023250233,-1.4232982,1.1362687,-1.5432291,0.17189968,1.6668041,-1.5348504,-1.6555092,-0.21451777,0.62998945,1.1676532,-1.5987543,-0.020916943,-1.4349959,0.6781565,0.34590253,-1.364508,1.1517335,-1.1897436,-0.2203489,-2.5693524,0.16671503,0.8787318,1.2579733,-1.0040085,1.1274995,0.56098294,0.500029,2.0156004,-0.5443676,-0.71421206,-0.4062373,-1.2265569,0.62083465,1.8044149,0.8212657,0.55307394,-1.4577111,1.7113442,-0.52442896,-1.5530304,0.15335044,1.1604793,0.522766,1.0743734,-0.599435,0.63342535,-1.6183593,-1.214714,-1.299671,-0.25184315,0.9557908,-0.01582018,0.30615452,-0.92334634,0.6406907,-0.07248451,-1.3769075,0.030309794,1.0974702,0.48532143,-0.6487697,-0.74147177,0.35556152,-0.18334055,-0.37455094,-0.32482785,0.7651956,1.2953994,0.9727589,0.008634886,0.5208232,-0.2761746,0.9971811,1.0440089,0.54157186,-0.27647972,-2.4555442,-0.24824592,-0.1423338,-0.039840486,-1.8945163,-2.3250127,1.765403,2.364175,0.3660378,1.0695614,0.3379391,0.5910165,1.3991603,0.65302575,-1.7682973,0.7830015,0.32388356,-0.12093921,1.431276,0.0032212734,1.7117151,-0.9004163,0.37014768,0.7338176,0.046828315,-0.66419196,-0.7390721,-0.53889346,-0.16629183,0.26579306,-0.7293973
MMRF_1327,-0.12060178,0.31507257,-0.43152323,-1.9658653,0.17699274,1.5510321,1.4541333,0.5391553,0.57888794,-0.8490028,-0.2986357,-0.13077933,-1.7707391,-0.95226693,0.9761337,0.6877452,-0.1630002,-0.5183088,0.4538806,-0.18708101,-2.0019467,0.9566962,-0.12571132,-1.0781575,-0.2490992,0.08334467,-0.020740842,1.8948514,-1.3388194,1.0139141,0.3174692,1.2946433,0.73352516,-1.3350402,1.5620409,-0.84715724,0.14135279,-1.3212657,-0.08162749,1.4035276,0.7702621,-2.131173,-1.2048341,-0.054595396,1.4227145,-0.6031624,0.3207204,0.6269996,0.4066124,1.054172,0.83387667,-1.599904,0.5861729,0.42416742,-1.8795646,0.20402385,-0.7861459,-2.6805007,-0.7749347,0.8100916,-0.15222032,-1.3559272,1.2001595,-0.37791452,-1.0080516,0.26102188,-0.621393,0.9760209,1.5509913,1.363244,0.9544401,0.590968,1.3294115,0.1561074,-2.1746676,0.612499,0.13106309,0.18201134,-0.12659734,-0.30484256,0.15472767,-0.36171854,-0.6616047,0.47465947,1.3191087,0.3227363,2.1097102,-0.15209371,0.08240119,0.27825108,-2.9976883,-0.65566325,0.15412024,0.17291777,0.1913928,1.6332337,-0.61728406,-0.55973047,-0.2612953,-0.30092096,1.1344186,0.77686155,-0.69719595,-1.3598742,-0.24298172,0.9787155,2.1107016,-1.2016643,1.7221986,-0.81040585,-1.0016372,-0.74783874,-0.122194275,0.5769909,0.35125175,-0.2582052,-0.67963225,0.33796373,0.528168,-0.4487118,-0.8644656,0.25699988,-0.45249835,0.9078875,-1.2033749,0.6440035,-0.3383801,0.46132374
MMRF_1210,1.4723176,-0.5223796,0.5779029,-0.8047402,1.9268128,-0.43442577,-0.29584187,-0.4284149,-0.13828932,-0.37753364,0.63499266,-1.3328625,1.1312609,-0.1862991,-2.1488593,-0.2210254,0.40563464,0.59514344,1.051399,0.119101584,1.3460383,-2.1693928,0.9756115,0.07488067,1.2824726,0.36347792,0.6201599,-1.2914314,-0.5461604,-0.6097295,1.3794435,-1.5501345,0.58386946,-0.4865685,0.54554456,0.35889113,-1.2692602,-0.29573572,-0.7605919,-1.202042,-2.5860915,0.08207935,-0.017461728,0.88271934,-0.01879102,0.32885003,1.3335295,0.5331661,2.7870443,-0.89249974,-2.113998,-0.08618349,0.73937774,0.023831733,2.1254036,0.083282635,0.7108145,-2.06861,0.9420681,-0.5915032,-1.0689199,0.339157,0.4961329,0.48431605,1.5689085,-0.53189945,0.6967961,-0.71720177,0.55016655,-2.1454408,0.12827075,1.6945456,0.21223581,0.71307987,0.1708866,0.7401673,0.055720866,-0.8509097,-0.22759567,0.49547124,-0.919781,-0.7444759,-0.39635056,-0.24923003,-0.5581077,0.04942559,-0.91676223,0.12046636,0.8571688,0.73255956,0.16804123,0.1251337,0.49834046,-0.6785594,1.0021405,-0.5982862,-1.5135036,-2.4530509,-0.30908057,-0.29315013,-0.078946985,-1.578721,-1.397081,2.0554633,0.53020346,1.4342993,1.2470969,0.23407724,0.084370255,0.91002584,-0.5419918,-1.4209197,-0.053985275,-0.13663323,-1.294319,0.94237703,-0.7306457,0.15457934,-0.58888173,-0.53884983,1.1676824,1.3082695,0.19636416,-1.2523603,0.31779197,0.28287134,1.2045581,0.21680078
MMRF_1269,0.7452114,-0.39326492,-0.7607939,-0.38377964,0.16993678,1.0419724,1.9359081,-0.47874317,-2.6896448,0.2605768,-0.6613708,1.2018806,-0.97956866,0.04732909,0.17089283,2.6313324,1.7088422,1.1467177,1.2552829,0.14690514,-1.3865157,1.3590292,1.117969,0.74303824,-1.1062745,-0.89390624,-0.55107284,-0.084239,-1.1596888,-1.7848924,2.0307243,1.8778031,0.5798361,-0.8136992,-0.13880754,-1.5542741,0.8059631,-0.7976191,-0.9556409,0.25234818,-0.24722533,0.21540529,-0.3918828,-0.18891913,1.7233016,1.3641175,-0.26392695,1.0904577,0.3612087,0.6197448,0.19608921,-0.35181782,-1.1069003,-0.9168363,-1.2747334,-0.4984481,0.41362008,-1.1627495,-0.112235546,-0.68075734,0.9377406,0.0056030746,0.6348398,0.4477415,-0.49325562,-0.5658661,-1.1983413,-0.45204914,1.6874872,0.848368,-0.5365964,0.2720596,-0.4533597,1.6906985,-1.7334721,0.5572132,0.42006388,0.045279417,-1.2367256,0.4045149,2.2909632,-0.87237555,-0.49904153,-0.14492846,0.57774276,-0.8451407,1.9692183,-0.52807504,-0.42129865,-0.90679795,-1.3963059,0.25497818,0.42355794,-0.9533746,0.3640066,-0.41379702,0.10269289,1.4522885,0.39507404,0.71811324,0.061887857,0.9606146,-1.0106653,-1.6286309,-0.60661525,0.37654516,-0.013195302,-0.30750102,1.8088669,0.13116859,-1.3542322,-0.49818105,-0.49258918,0.21658227,1.4295319,1.0472105,0.010243835,-0.94720215,-0.33519945,-0.47179538,-1.5094546,-0.54466164,-0.04800939,0.97336423,-0.499024,1.0189079,-1.454841,-1.7066138
MMRF_1251,-1.0968605,-0.5821329,0.33113623,-1.2073714,0.17591873,0.35469478,-0.98264956,-0.8537831,1.4025192,-1.6054192,0.64493257,0.15121686,0.5700744,-0.6527149,1.283757,-1.2374861,-0.23229593,-1.832095,-2.1514194,0.6065787,-0.90853244,1.1598305,-0.25245306,-0.5560711,0.5389457,-0.020359378,0.7665971,0.73082787,1.3377641,-0.23632392,-1.4575424,0.32741094,-0.6098238,1.8930573,0.22118181,-0.052045465,0.96204036,-0.1806051,1.4636836,-0.39041272,0.39939547,-1.2280072,-0.9014502,-1.0684072,-0.27779794,-0.2958003,-0.6797699,-1.2301053,-2.465584,0.13219249,2.335317,0.14147438,-0.9141136,-0.7023888,-2.0055406,-1.2975979,-0.21031068,2.36599,-0.93331075,1.1696032,0.13587663,-0.066717796,-0.938375,-0.4909835,-1.098414,1.0686562,0.46437362,0.59920865,0.04510844,0.46063945,0.9132057,0.39836428,1.131718,-0.22821695,-0.31708172,0.38382325,-0.5501851,0.73590314,-1.1661248,0.5118923,0.065007724,1.0509977,0.80647177,0.8111249,1.2771106,0.47539535,0.88881344,-0.6921621,-0.30309168,-0.32342783,-0.042447764,-0.40966585,-1.6647774,1.6488646,-1.5776066,1.2465769,0.44679195,0.34452868,0.6114342,0.09450752,-0.56188273,1.227415,2.9647505,-0.680633,-0.9532212,-2.0496538,-1.161268,0.3050915,-1.214388,0.7753753,0.3396708,0.24636053,0.11644918,1.4396694,0.1905685,-0.26707986,0.5735763,-1.0304413,1.2144114,1.4677895,-0.179516,-1.8261776,1.0579998,0.33967394,0.12975617,0.30745962,0.76569134,-0.37701157
MMRF_1328,0.39042717,-2.3135366,-1.8433784,-1.481577,0.41761875,-0.51740706,-0.56808937,0.29015076,-0.42785767,-0.39499402,0.3564335,0.291586,-0.89845276,0.15497993,0.32899228,0.50960284,-1.537393,0.25387552,-0.6551032,1.0851775,0.3316174,2.2523594,0.8278212,-0.88100165,0.9895407,-1.8804274,0.6276678,0.70802313,0.10189642,-0.577864,-0.36172798,-0.08489763,0.95632565,0.21599686,0.68588877,-0.5149742,1.8276918,-0.38847244,0.16283189,0.15846366,-0.3715647,0.4582525,-0.8167537,-0.45184803,0.8288813,0.25876597,-0.14479691,-0.57438946,-0.8795792,-0.14139898,-1.1808271,0.09168244,-0.04072198,-0.84351134,0.80786043,1.6624507,0.74583125,0.354008,-0.9237011,0.4259701,-0.13401599,1.4448149,-1.4649603,0.67897075,-1.7651591,1.2870301,1.6859578,-2.0911202,1.7575539,-0.52534413,0.71092886,0.47668946,0.39137208,-1.9275131,-1.127736,-0.3352228,-0.41016665,0.91556937,-0.11738792,1.1702278,1.0063045,0.99541175,-0.43078277,-0.31587902,0.93816733,-0.021997157,0.6516041,0.1253767,-0.5838108,-0.95757246,-0.39317867,0.39290804,0.33136696,-0.37132767,-1.6361047,-0.83799016,0.56480587,0.24883053,-0.54789907,1.0035069,-0.02953741,0.7950521,0.8452674,-0.044072792,-2.307149,0.014773765,-0.5113781,-0.92905307,-1.9549383,1.1189684,-2.4990332,-0.1943746,0.9027174,-2.0968573,2.747188,0.8590135,0.6671627,1.595826,-0.46594298,-0.15774098,0.9419814,0.77817976,-0.7761369,1.4353094,1.0081118,0.35227337,0.28658366,-1.137193
MMRF_1171,-0.32917395,0.67184436,1.5004011,-0.65978646,0.38483575,0.019523412,-1.7684304,1.372655,0.49660102,0.19511998,-0.58454025,-0.19733897,1.2818948,-0.06352329,-1.6195836,-2.0603395,0.7226456,-0.7494524,-0.04007134,-0.8292024,1.6755484,-0.5281367,0.6438788,-0.14861411,-0.28198022,-0.20825627,-1.0265429,-0.02747043,0.22968955,1.9198902,-0.32471374,-2.9664617,1.9456799,1.8972989,-0.702416,-1.4372115,-0.2794339,0.73407024,1.3838212,-0.56968987,-0.5862846,-0.24744429,0.06781301,1.2362229,-0.858624,-1.9390345,0.28736556,-0.5687608,1.0281826,0.19892131,-1.205275,-0.34508213,0.08242721,0.8662457,1.1200603,0.71930254,0.8329362,-0.12680225,0.6867113,0.14965421,-0.30469012,-1.5239705,0.8326626,-1.6170477,0.5838901,-0.5554176,0.6993066,1.1683302,-1.3553804,0.32417628,0.35852167,0.54332715,0.28381437,0.24670759,0.18946181,2.0824206,-0.2773573,0.5050207,-0.5169927,0.6957277,-1.6267879,-0.46370795,-0.66232026,1.1362692,1.5031445,1.430599,-0.5601172,1.1789206,-0.967353,1.1872077,-0.96017927,0.9391221,-0.7136601,-1.3043711,-0.2309398,1.7894018,-0.62267745,-1.7327106,0.060718566,-0.3663211,-0.18424895,0.3093236,-0.29663455,1.3548441,-0.7761673,0.5948239,0.6045672,-0.5244507,-0.9096966,-0.3608244,2.1906774,1.4347677,-1.3175663,-0.74522495,0.28859904,-1.0006773,0.08434638,0.2466433,-0.19652635,-0.98280895,0.3178938,1.0536857,-0.12515329,-1.9236404,-1.7228254,1.0906025,-0.3930333,-0.4489084
MMRF_1354,0.50164187,0.5878558,1.3838816,1.2478561,-0.9033407,0.6829179,0.8116439,0.64706975,0.5970659,0.7450565,0.40379283,-0.45797747,-1.09409,0.8559283,-1.7639077,-0.36010784,-0.46729872,0.011838971,-0.25568983,0.6310059,0.24354742,-0.9859544,-1.0591178,-0.21339244,-1.5902876,0.4885065,0.09244312,0.9183286,0.9419464,0.2613853,-0.56820506,0.9484014,0.5413724,-0.7676832,-0.81588596,0.8852451,-0.8111352,0.7072354,-0.011846272,1.1569462,0.07828444,0.7096571,1.4071593,2.018673,-0.12671387,0.050193932,-1.0505365,-0.68746626,0.5250811,-0.17985041,0.9625629,0.17061353,0.17943844,1.2727418,0.4116084,1.212404,-0.8429317,0.30392194,1.4158944,-0.4881932,1.6905804,1.1628193,-1.8756053,2.0541053,-0.25871915,-1.3495135,-1.0166112,-1.7342772,-0.6535253,0.15353435,-0.3957068,-0.34766704,-1.3786176,1.5378777,1.1010952,-2.8115003,-0.41955155,-0.82185894,0.6449993,-0.88915074,0.39056388,-1.3379736,1.1889533,-0.83201045,-0.24863471,0.019395547,-0.93300813,0.34401307,-0.60348976,-1.1092925,1.6450431,-0.6229255,-1.3736115,1.6459757,0.52868116,-1.9140819,1.6276768,2.0676231,0.8228305,-0.57399833,1.6632181,0.31224695,-0.5643816,-0.5469577,0.04192784,0.80740565,0.8520464,1.508178,-0.3861656,-1.3010188,-0.8640676,-0.9812609,-0.5715029,-0.9724864,-0.6823277,-1.5838135,1.2083247,-0.23990771,-0.3944272,0.83512294,-1.412776,-0.8928575,-0.97240824,-0.97314155,-0.9272638,-0.53599864,-0.5095602,1.4987401
MMRF_1344,1.0369111,-0.8323555,0.17049693,-1.0075026,0.94684976,0.1219535,0.781355,0.67020875,-0.2866959,-0.48178583,-1.2085532,-1.3015277,0.030002782,-0.38222057,-1.8676624,0.67011464,0.8501812,1.9249634,0.95288044,-1.139239,-0.92174494,0.5728985,0.4760378,-0.8394965,0.58289605,-0.8960834,-0.7776352,-0.39136317,-1.238707,-0.559876,1.0903726,1.2119079,-0.26357067,-1.7091516,0.6145387,-2.3007686,-0.3827603,-0.16161591,0.095493555,0.42645794,-1.4104025,0.45085716,0.92226654,1.0148597,0.4076653,1.6828095,0.19129463,0.6135471,2.0597246,0.3427002,-0.2706513,-0.5872394,0.30078003,0.32199585,1.6185277,1.211231,0.1072414,-1.7197772,0.078193985,-0.24936882,0.5912402,-0.75974995,0.766756,1.1483468,0.44504932,0.5068722,-0.0578492,-0.5164047,1.3634142,-0.75017357,-1.8197832,-0.28742126,-0.92468685,0.8675547,-1.2679102,-0.3257009,0.93220675,0.34927222,-0.39096898,0.41937324,1.4371685,-0.88921946,0.008997815,0.5873005,0.4501388,0.16553523,-0.39187455,1.3822155,1.166165,1.2601156,-1.81427,-1.1883142,-0.48491058,-0.40606454,1.6073185,-0.3355838,-0.13899764,-1.7169185,-1.2385513,0.31265125,-0.37039074,-1.2545997,-1.4674858,2.4458745,0.6375014,1.5703021,1.1238234,1.001972,1.4730992,-0.8646038,0.073801175,-1.8582433,-2.0946636,-0.4280742,-0.13738011,0.8681949,-0.06572691,0.053872243,-1.5580041,1.3548759,-1.0393933,1.2003478,-0.11103339,-0.7620309,-1.170503,0.32588464,-0.94541836,0.4916861
