patient_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
MMRF_1231,0.3157551,-1.8115648,-2.5236673,1.8000464,2.0588973,-0.9142147,0.2014183,1.4480832,-0.03370189,0.603968,-0.3770625,-1.8692708,1.1130985,0.82365495,-0.96339047,-2.038302,-0.47782072,0.46582264,0.22140966,-0.7805409,-0.32002088,0.6906721,0.752741,0.61747366,-1.0738684,-0.28502607,0.95382994,-1.3972521,1.0788643,-2.7953808,-1.5565108,-1.0500722,0.57492054,-0.2597112,0.65990484,-0.18029542,-0.20578872,-0.58579206,-0.18185836,-0.6957166,1.1343094,0.26459584,-0.18789963,0.4403922,-0.17751138,-0.74001276,-0.5499326,-0.7274079,0.28444153,-0.03764769,-1.4858962,-0.60656214,0.8999463,0.82503724,-1.0670505,-0.25917527,0.093082555,0.6942693,0.84067047,-0.93932706,0.6591306,1.055095,-0.32835862,-0.6856608,-1.6163906,1.3665239,0.3783717,-0.3955418,0.011569851,-0.049040094,-0.8781039,0.45701632,0.5377509,-0.70348185,-1.3724285,1.8778964,0.2042634,-0.57311165,0.025780817,-0.22033352,1.4752958,0.069429606,-0.251001,0.6359003,0.20071922,0.35405037,-0.14103012,1.0795025,-1.2957317,1.2384046,0.76835483,-0.7435229,0.5824295,0.3581364,-0.7370301,1.0199299,2.5591555,-0.375453,0.46228135,1.3957412,-1.4793465,-1.0047467,2.1247356,0.91654444,1.4881699,-0.87313116,-0.49923706,-1.8201245,1.0238189,-0.61385494,1.2443213,0.14655104,0.2728316,0.06103351,-0.99101526,-0.8266431,1.0884036,2.1774926,0.802957,0.35535052,0.42877635,0.34661496,-1.8594706,0.28051946,-1.3640155,0.11401055,-0.58228976,-0.060798712
MMRF_1032,0.25245696,0.6828371,-2.6533515,-0.6194238,2.9451396,0.17740871,0.08639808,1.4541014,-1.8130018,0.7053012,-2.0475085,1.3729453,0.38216612,0.40704355,0.22211517,-0.45307645,-0.22887163,-1.0841806,0.636844,-1.0779736,-0.30136588,1.124999,1.0266677,0.0891525,0.7240914,0.11992807,-0.37685585,-0.20409916,1.2698824,-0.37754172,0.6156703,-0.12710679,-1.1375033,-0.9191223,1.4910649,3.1110647,-1.4633852,0.16251309,-1.1147898,-0.6276502,0.34102607,-1.411511,0.28102055,1.2282238,-1.8315783,0.30285293,-0.56859744,0.61613107,-0.9872475,0.8282215,-0.14269008,-0.07517303,0.034642097,2.335836,-0.5019553,-0.2083772,-0.61198956,-0.7467338,1.2730194,-0.79584146,0.17080754,1.3982009,-0.45425585,0.6035708,-1.2731776,0.19291447,-0.7555489,-0.10016371,1.3112699,0.7817609,0.8557857,0.24681959,-0.7461231,-1.836576,-0.8525483,1.4095693,1.0028007,-1.6088483,-0.24946254,0.21730049,0.0613369,1.2590716,-0.43454462,-0.21654294,-0.01944809,0.36240897,-0.8699779,1.539879,-0.7678775,-1.3077285,-0.26392353,-0.6249401,0.2699206,-1.7405157,0.34475657,0.95388854,0.69691974,-0.81158465,0.35664177,0.326237,0.012156939,-0.1978122,1.0324742,-1.1100181,2.3677342,-1.2468524,1.2650009,-0.71808064,0.17760277,0.0049634557,0.17740223,0.32708392,0.38488576,-0.7665123,-0.5144062,-2.5827463,0.3526848,0.3747176,0.75355756,0.67486,-0.193654,-0.33872482,-0.6779352,-1.0428536,-0.5029755,0.81838816,-0.41353464,0.3528915
MMRF_1327,0.79231554,-0.5791838,0.7188881,0.12603764,0.3446762,-1.7274799,-1.66838,0.81877804,0.32123074,-2.265023,0.38851708,-0.83469385,-1.2814336,1.0093218,-1.0242424,0.4986811,0.3227027,-0.8875763,0.7924939,-0.40539262,-0.42197093,0.16182998,0.5628677,0.25199062,0.3875086,0.958293,0.6054495,-1.2314246,-0.21759643,0.31248242,0.34713835,-0.761939,1.6724737,1.5606036,0.434646,1.8872772,1.8508846,-1.537118,0.20573846,1.569186,1.4218386,-1.2268349,1.2201439,0.78213197,-0.6716588,-0.918151,0.19770016,1.193615,-0.7456347,0.640896,-0.1659415,-0.5941771,-1.2075396,-0.78161013,-1.3589529,1.5083177,-0.2889368,0.21448134,0.4138777,-1.1438178,-0.9727676,-0.301506,0.9104331,-0.43496656,0.6342745,-0.49976027,-0.42449018,-0.4927323,-0.043425858,-0.6524373,-0.70873,0.59761167,-1.3238369,-0.59546286,1.4328403,1.5765429,-0.79073167,-0.21192275,-0.04576033,0.76111317,0.32112592,-0.17172159,-1.7944987,-0.9013765,0.13399832,2.4015808,-0.24618806,0.120316975,1.0885677,1.1381863,-1.0573173,0.33563447,-1.6879987,-0.74494416,0.9473512,-0.39849648,-1.3013233,0.8526235,0.75894266,0.9909791,-2.1114664,-0.2241861,-0.97220063,-1.8421063,1.5522062,0.7312995,-0.4620055,-0.19034731,0.55945444,-0.21394536,-0.10505717,-1.9956949,0.60373396,0.37025306,0.38714632,-0.16223338,2.5587237,2.1882737,-0.826023,0.4829102,-0.55294025,0.41694838,-1.1654162,-0.5503017,0.25699583,1.3353544,-0.90394413,-0.8201082
MMRF_1210,0.121721946,0.7915821,-0.040802367,-1.7135159,1.762819,-0.49772906,-1.1949311,-0.5189417,-2.5801268,-0.5078941,-0.6351788,2.820943,-0.039618332,-1.3772594,1.2121856,1.4708414,0.28779143,0.49134946,1.8144699,-0.16544977,1.1267145,-1.0265455,-0.986196,0.23900989,0.34532627,0.15531896,-0.13043296,0.93274176,0.14061283,0.32601446,0.7244963,-0.72623,-1.7551993,-0.68716556,-0.7842936,2.2988462,-0.7284735,2.0125449,0.115927495,0.33576915,-0.66016054,-0.5924309,0.82428235,1.0331349,-0.8985476,-0.20376234,0.38449904,0.19169536,0.64840454,0.70654774,1.0440139,0.18385483,0.208954,1.3710619,-0.5252266,-2.1205716,-0.21546167,-1.0823355,-0.082352646,0.95177037,0.24799918,-0.2942532,-1.7606395,0.16745092,-0.630361,0.027613193,-1.3471551,-1.0392401,0.18581384,1.5181347,1.5612973,1.4760373,-0.7453892,-0.4269418,-0.48923784,1.0895014,0.4831878,-1.1172092,-0.36614603,0.5194193,-2.1517298,0.37421075,0.85210925,-0.08932672,-1.182053,1.0527796,-1.0401665,-0.02039945,-0.670137,-2.1657622,-0.18431196,-0.8327683,0.5030563,-1.8667173,1.1844647,0.48847142,-0.49622476,-0.08667131,0.6265237,-0.58866537,0.24994928,2.1542037,-0.78788817,-0.8231807,0.8940335,0.33961478,0.8985844,0.44146204,0.79209536,0.12840407,-0.8768775,0.09481388,0.39122435,-0.59331346,0.50366604,-0.65902287,-1.1473436,1.0044677,0.33923262,1.4565732,-0.49377805,0.71193755,-1.3344262,-1.1083496,-0.14391518,-0.6906466,-0.5373123,1.3952619
MMRF_1269,-0.5121282,0.284185,0.27063376,-0.38916406,0.44337836,0.16723296,1.6864942,-0.09780991,-0.70767903,0.22128922,1.0801854,-2.1217244,1.3814274,-0.009461171,-0.9262511,-0.19811079,0.12203421,1.7312877,-0.3345285,-0.31266037,-1.3317763,-1.1471531,-1.5856408,0.43416062,-0.82424873,-1.0230343,1.2185231,-0.1861252,1.20398,-0.8236027,-1.1791015,-0.05957493,1.0957824,-0.46788135,-1.350288,-1.1787006,0.26301643,0.14012294,1.3000193,-0.5973637,0.36583367,1.4486688,-2.0056438,-0.32528353,0.92802685,0.25328934,2.0938916,-0.64448285,-0.32769212,-1.725471,-0.20315085,0.28405026,-0.55783707,-0.82219476,-0.16145039,0.20702839,0.2209821,0.4708107,-0.12251487,-0.24192068,-1.205847,1.0819278,-0.6197322,-0.81103116,-0.6342058,1.093905,-0.28989702,1.3602017,-1.4980056,-0.177941,-0.325585,0.15298802,-0.17182255,0.8398485,-0.35195088,-0.5438198,-0.010318981,-0.60875255,-1.4142212,-1.7972792,-1.0308566,-0.055334747,0.6246248,0.029347243,-1.8327831,-1.9141828,-0.31928498,1.8123521,0.73764193,1.1054783,1.7145988,-1.1426538,-0.47465497,2.571618,-0.924544,1.5016437,-0.39201713,1.5326042,1.5037446,0.63263077,-0.26560763,-1.1291033,0.32521495,2.0356507,-0.28041297,-0.08711527,-1.757042,-0.33663216,-0.51659906,0.6375558,1.3580868,0.8633294,0.8436868,0.60174555,-0.1389367,-0.35913968,0.9802964,0.07609731,0.5684337,0.16712444,1.5779165,0.10006248,-0.3856314,-0.14604302,0.6382313,-2.1319907,2.1593018,0.03321183
MMRF_1251,1.5477356,-0.37556267,1.2930303,0.36848554,-1.0258422,0.26385844,-0.29746193,-0.373516,0.800282,-0.094316475,0.8220278,2.577767,-0.8823116,-1.2177546,-1.0847105,-0.20486335,-1.5596035,0.38688242,1.1702615,-0.6020549,0.42637733,0.21033439,1.0691597,-1.1292341,0.0748443,1.0063789,-0.12547496,-1.4856855,-0.23384987,0.066750556,1.0164237,0.30212697,-0.17437015,1.2040459,-0.6900144,-1.6157167,-1.2800143,0.15828638,0.93166804,1.9657897,-0.49506304,-0.5889095,0.13466409,-0.86404324,-0.088212624,0.43016583,-0.46777686,-0.44773293,0.30327457,0.15244913,-0.5933969,1.0426035,1.1398686,-0.11719041,-0.5639043,1.19379,0.8597554,1.1185384,-1.3185773,1.1768686,-1.9438356,-1.423737,0.06803729,-0.54515505,1.1799519,-0.61057615,0.87671167,-1.1695964,-1.7346572,-0.123156846,-1.2645695,-1.0255406,0.58816606,0.400328,1.2737166,-2.1178527,-1.87723,-0.35507208,0.59145004,1.8133224,0.725632,1.146702,-0.69035065,-0.577269,1.1368314,0.4291628,0.2785901,-1.4882491,0.79029995,0.016328018,-0.78331995,1.3255398,-0.078080684,0.7928992,-1.1384372,-0.3693213,-0.38792908,2.5271418,-0.53732103,0.2570064,2.61185,0.84593934,0.22957344,0.3408419,-0.60642195,-1.0148624,-0.29510248,0.75959486,0.6265341,-0.6137382,0.4415133,-0.2916795,0.08556941,0.7901782,0.39480108,-0.123105615,-0.14982033,0.77461964,-0.22616875,-3.011482,-1.5139556,1.1650326,0.39585665,0.2223743,-0.28814375,-0.60399276,-1.6464378,-0.5068345
MMRF_1328,-0.7881962,0.94646496,3.2795315,-0.49782053,0.2653981,1.3028034,1.2702261,-1.1338216,-0.09770593,-0.43505606,1.6353629,0.6894331,-0.8516305,-1.1154399,-0.515199,0.3175735,-0.95442003,1.3976985,-0.0038872631,0.8015991,1.4430996,-0.66093606,-0.2364773,-0.68470633,-0.8656151,-0.8846547,1.2921736,-1.8241645,0.021017956,0.82542485,1.4360483,1.0468935,1.4427761,-0.7662569,-0.7464072,0.2616906,-0.41447908,-0.37814236,-0.018914381,1.3631525,1.1000271,-0.2956206,-0.34327772,-2.179041,0.6341847,0.72828513,1.423245,-0.20442253,0.5386808,-1.4329585,-1.232772,1.7366245,-0.21598671,-1.5569978,-0.6262229,0.46847948,-1.1871232,-0.0047766585,-0.84796923,0.48965377,-1.0662731,-0.8605657,0.50759697,-1.4245918,1.0423315,-0.24181192,0.24996535,1.1373532,-1.2159637,0.33189905,-0.48469558,0.028159108,-0.73343307,0.7323874,-0.01744503,0.49357748,-1.6709169,-0.12814409,-0.39826056,-1.91288,-0.8053158,0.5503618,0.38344392,-0.16344027,-0.6390917,-2.1252449,1.9358478,-0.48946694,2.7007983,-0.116486154,0.03793828,1.0120283,0.35594094,-0.049161833,0.42940673,0.49955222,-0.8925471,-0.20380676,-0.23205452,-0.48083538,-0.034002893,-1.2303754,0.2720319,0.9846646,-1.8582343,1.8086799,0.08872473,0.62703544,-1.8246558,-0.05250588,-0.58120716,-0.92878294,1.390331,0.23818436,-0.30649424,-1.2620519,0.41109005,0.5526655,0.6800425,-0.654771,1.5088314,0.72745705,-0.6530734,0.61611015,-0.10960325,-0.88259935,0.06726937,0.07351488
MMRF_1171,1.2943181,-0.6420874,-0.5032514,-1.8021401,0.21070819,1.3812962,1.2029766,-1.2906933,1.1859465,1.4990131,-0.6337763,2.4832366,-0.8302716,-1.3766358,-0.41855583,-0.8680353,-0.12872079,-0.38467434,-0.62739575,1.188465,2.2437377,-1.3322535,-1.0285149,-0.20613107,0.24755922,0.047061242,0.6244046,-0.8015592,-0.8779781,-0.5578621,0.25751767,0.93856627,-0.3701559,-1.8291622,0.6162572,-0.13058649,-1.7899716,-0.8328141,0.13335697,0.740563,-0.4740693,-0.63259524,-0.17806458,-0.1426243,-0.19594462,-0.62212116,-0.2563512,0.69157624,0.75721955,-0.056847677,0.4583955,2.0042043,1.8751396,0.56605494,-0.57146645,-0.62510014,-0.6820764,1.2399354,-0.096966706,0.053540513,-0.013538916,-0.19477959,-1.0035784,0.12244878,1.1543279,0.097105846,0.13389905,1.3747926,0.19018003,1.2357997,0.08042959,0.5278536,0.7913191,0.77256066,0.67809916,-0.9201019,-1.1667355,-0.7637921,0.6010287,-0.0033068382,-1.4866383,0.920048,-0.014163462,1.3466771,1.5760474,-1.447436,1.0293146,0.5640489,-0.3453625,-2.2577798,0.6422803,0.9519565,1.1371956,0.96806526,-1.2447103,-0.961864,-0.5412758,-0.4227526,-0.9238947,0.17635487,0.65535694,0.38160193,0.63111794,-0.5641305,-0.75295264,-0.07718915,1.9786098,1.2597523,-0.5153627,0.5273708,-0.64775455,-1.0053335,-0.1819416,2.5374072,-0.074555844,-2.9705005,-0.6071633,0.7444078,0.40689662,-2.5455937,0.08324073,-0.8079536,0.4279491,-0.78698844,-0.6391833,-0.5750679,-0.44292468,-0.06798269
MMRF_1354,-1.3890008,0.99647874,-1.391589,0.088815644,-1.4534538,0.6893309,1.6966054,-1.2648154,1.2206182,1.9948157,0.046165973,-1.4653698,-0.5726559,0.8533256,1.509409,0.24858972,2.242671,-0.8427485,-1.5611427,0.24362436,-0.87271285,0.6927416,0.0628126,0.7891294,0.25641543,-0.46158877,-0.7359288,0.5845659,0.1673523,1.2789178,0.37467298,0.19250219,-0.03937481,-0.65699625,-0.19858226,-1.9583209,-0.2823655,-1.5259973,-0.34881106,-0.48019916,-0.16823785,1.8815554,-1.1953019,0.30958638,-0.6876358,0.8427155,0.5891086,0.66547143,-0.5973306,-0.28666118,1.7907516,-0.73225254,-0.62406677,-0.7937897,1.9818426,-0.035483006,-0.6016218,-0.44149935,-1.1598836,-0.64304286,0.82029706,0.62184227,-0.025023988,1.5193655,0.12016104,-0.571632,0.11909178,0.8356845,0.37789106,-0.48606852,0.5865999,-1.2217692,1.2252693,0.07071998,-0.39354867,-1.3085324,1.2547758,0.030190773,-0.69040173,-0.71225095,-0.44160786,-0.57935596,-0.39578828,-1.5390655,0.98599434,-0.62154543,-1.201416,1.5986279,-0.9198852,1.1956882,-0.24453653,-0.17306785,0.11835075,1.4390092,-0.6227154,0.30719802,0.068341084,-0.09748036,-0.5954289,-1.5269222,0.63745856,-0.1414114,-1.272829,1.4984175,-1.1478696,0.27250716,1.1260197,0.10487825,-0.9422349,-0.4871851,-0.82382536,2.2671645,-0.6470804,0.92522943,0.4317783,-0.7703392,0.08929975,-3.468999,-0.78851134,1.628858,0.5093518,0.17026813,1.1493496,-0.31351045,1.4616007,-0.37139142,1.5213404,-0.37487715
MMRF_1344,-0.86091864,0.6742406,-0.41864973,-1.4968269,-0.3066905,-1.3392212,-0.96494097,0.9324052,-2.7758725,-1.501854,1.032386,1.8672621,0.5612058,-0.44788748,1.8158468,1.7731963,0.17433603,0.15264723,1.608572,0.14137201,-0.6828608,-1.1856897,-1.6433107,0.38049996,0.47464445,0.4818211,-0.3815961,1.8551319,0.43059245,0.95495176,0.8663882,-0.63418853,-1.0919335,-0.090888746,-0.5206208,1.0052595,0.9988901,2.2124248,-0.91455996,-1.4358753,-1.2878073,0.44095936,-0.21553034,0.8464678,-0.07079236,1.1269622,0.22085637,0.40416747,0.160949,-0.041356303,0.97126263,-1.3402971,-0.19429418,-0.07128098,0.28776127,-1.7666658,-0.2699705,-0.96718854,0.014669759,0.5339743,0.9099953,-1.0914263,-0.40140614,-0.31402555,-1.8874029,-0.86601245,-2.269759,-0.4305756,1.2993002,1.1337316,0.76301235,1.7211063,-1.1758752,-0.39567226,0.0778478,0.47230846,1.1815097,0.33630747,0.89401793,0.9764972,-0.93687207,-0.02329236,1.3790423,0.24474499,-1.9019966,0.45816886,-1.5594575,-0.9676701,-0.53728646,-0.7864394,0.11793227,-1.1498519,-1.1062952,-1.9337995,1.2606719,0.28192934,-1.0628712,-0.32180333,1.7956953,-0.72667867,-0.36720425,1.8590144,-0.051588517,-0.14233316,1.1842918,0.8334483,0.31669322,0.92135423,0.87661684,0.5313276,-0.1411044,-0.9314847,0.05829157,-1.210498,-0.21909954,1.1964684,-0.34956944,0.5273495,-0.25561482,0.9749614,0.57473856,-0.00033466937,-0.35802928,-0.3364789,0.8495846,-1.007672,0.114908904,0.60641605
