patient_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
MMRF_1231,-0.9722297,1.9166718,-0.96715945,2.547086,0.5158175,-1.1254145,-1.0936027,-0.14835143,0.058355644,0.35089007,-0.81673443,-0.32247037,0.42145216,-1.6799151,-0.5093753,2.0137348,0.5250094,0.47868767,-0.32446525,2.352056,1.6465735,1.9071761,-0.18297769,-0.14641528,-0.19064571,-0.42091432,-0.7501444,-1.8248795,-0.12815873,-1.6865776,-0.3778782,-0.7874201,-0.36246994,-1.3612814,-0.83032674,0.23829839,-1.132355,-1.5209115,0.06061819,-0.512072,-1.436346,-0.007168185,0.8671861,-0.20301679,-1.0136553,-0.3718064,-0.38394287,-0.08337726,-0.21637724,0.98911273,1.3951827,-0.3544034,0.15021285,1.2893893,-0.37009585,0.77691,1.2056174,1.1095719,-0.34788108,1.1441344,-0.39699805,2.0084567,-0.29900026,-0.3553446,0.25701985,-0.31318635,-0.23904389,0.47029817,0.9782629,-0.22457148,-0.06180958,0.5295839,0.097511925,-1.1150962,-0.16531914,0.3187807,0.4659556,1.051076,-0.98410517,1.4187348,-0.81247854,-0.7076926,0.3320967,-1.2964332,0.5694526,-0.10740904,0.8784521,1.1468427,-0.58930343,-1.0895672,-0.34668666,2.3719926,-0.6291539,1.4755411,0.031707026,-2.451563,-0.36417007,-0.07394317,0.5305033,-0.44548798,-0.15891564,0.5541259,-0.18733507,0.6375894,0.18723266,-0.7149964,1.5596285,-0.6610087,0.565229,-0.31776184,-2.498777,-0.58759457,-0.49229762,0.9219696,0.7303772,-0.69983685,0.65102994,-0.27166593,-1.8598478,1.5481168,-1.1557397,-0.63425446,1.7814748,-1.1433855,-0.68287283,-0.52658975,2.0209424,0.51005226
MMRF_1032,0.75252235,-2.3809052,1.8996143,-0.924606,0.29851457,1.1932608,-0.25784636,0.047557194,0.82700557,-0.52381146,0.7808762,-0.814591,0.7768015,0.6186497,-0.027735071,-0.8944429,-1.0821204,-0.47580737,-0.5649175,0.26622048,-1.4834462,1.3375905,-0.38385916,-1.0670935,1.362412,-0.04705094,-0.5933638,0.96459824,0.78768724,-0.23670302,-0.24629201,1.3695794,0.4144292,1.5288382,0.028303064,-2.110377,-0.18579906,-0.71096456,0.048828423,1.289754,0.1922902,-2.1654649,0.0795821,0.1724197,-1.7065892,-2.166168,1.4485662,-1.0836054,-0.969247,-0.53045356,-0.2524656,0.26271373,3.0951238,-0.85244673,0.7688307,0.33606386,-0.11678389,-1.2180707,1.1840628,-0.4788408,1.2399698,0.0011261818,-1.1033019,-0.025596038,1.0295715,1.2674648,1.1066694,0.9886413,0.1428347,-1.4797897,0.26164523,1.0288461,1.353738,-0.12202476,-1.7153475,0.7010235,-1.1241558,-1.7516291,0.31457025,1.300583,0.8671445,1.2717171,0.18154171,0.05092817,-0.6214092,-0.19628231,-0.36455557,0.15974528,0.44276303,0.7466634,-0.9625626,-0.96558046,0.20276988,-2.508315,-0.2298501,0.95263946,0.7151565,0.71433103,-0.578958,0.56160307,-0.1831647,-0.2786723,0.53225434,-0.51718897,0.2165942,-1.5542072,-1.4104722,1.773891,0.5777705,-0.119302236,0.5172638,0.033809602,-0.48840097,0.78542125,-0.5707531,-1.1644881,-0.14094697,-0.23787096,1.5921544,-1.9565474,-0.7450856,0.35182172,-0.30170506,-0.10485073,1.6318709,0.6391037,-0.2654979,-0.027590841
MMRF_1327,-0.2830177,-1.6591549,1.1546241,1.3574246,0.8564055,0.37707177,-0.6692259,0.22956741,0.10872925,0.54547167,-0.26228485,-0.69719833,0.6342924,-0.6358895,-0.74025273,0.5737772,1.3668457,-0.56202507,-0.044980466,0.578438,0.37798378,-1.2147557,-0.6773796,0.2151751,1.0525491,-1.9483048,-0.8688041,0.05114369,0.099125005,-1.3461993,-0.6125658,2.037002,0.5736558,0.62072015,0.38505158,-1.8483285,0.30260924,1.7160652,-2.1260483,0.4504822,-0.3713659,-0.04405728,0.09075376,-0.52117133,-0.16729341,-0.38234842,1.7427948,-1.3679875,0.03430002,-2.0451214,1.7132044,0.83609176,-0.49919736,0.11098547,-0.35768744,0.6096448,-0.10203239,-0.05362461,0.9367827,1.1963481,1.1407107,-0.47354355,-2.7932303,0.8335167,0.62748766,-0.22328669,-0.2606767,0.048842154,0.13744733,0.010247967,1.2341791,1.0005324,2.0418444,0.51539004,-1.0465387,0.69757247,-0.26883093,0.75358355,0.5547437,1.6236902,-1.0598027,0.3723782,-0.7840107,-1.0674394,-1.2595116,1.5760256,1.5094888,0.78413504,-0.47321498,-0.7402891,-2.4563925,0.32385632,1.8238481,-0.9556498,-1.0484239,-1.4925594,0.97610205,-0.39203587,-1.2825446,1.5422254,-0.39106473,-0.25139934,1.3157592,0.5801639,-1.4433225,0.10159175,1.0958273,-0.6985349,-0.35671017,-1.0790704,0.6102443,-0.08433701,-1.1136295,-0.1787294,-0.729661,-0.5494893,-1.0752672,-0.6648992,0.9923708,-0.79144466,-1.4519918,0.67133737,1.0229545,0.7073601,0.52993584,-0.72621614,-0.712689,1.6826435
MMRF_1210,0.4587918,-1.8168038,1.0706513,-1.9333025,0.8490574,0.5073576,0.38642144,-0.01648238,-0.054634888,0.53073573,2.4977953,0.14116636,-0.7612505,1.4835865,2.0788808,-0.414675,-0.87839824,-0.8345819,0.5626123,-0.30173507,-1.1665713,2.924807,-0.15397574,-0.7488135,-0.22420849,-0.7279515,1.2060393,0.54665077,0.24327528,0.56436974,-1.3580678,0.97038186,0.7549315,3.0402462,0.6817553,-1.2740384,0.63571334,-1.1299512,1.3249371,1.599241,0.6709466,-1.2500554,-0.6130916,0.16023543,-0.032627262,-0.80568516,-1.2970611,-2.0167286,-1.0589178,-0.7273974,-1.5069941,0.36032793,2.7538009,-0.5839587,0.6393911,-0.36647645,0.006540876,-1.5426066,0.34840432,-1.4119718,-0.039275665,0.14930421,-0.62308824,-0.79276305,-0.5527066,0.86192393,1.251818,-0.010338845,-0.8619028,0.82491064,0.043961976,-0.23332739,1.0762473,-0.7315029,-0.32867232,-0.83122516,-1.2336819,-1.8918031,0.6260731,0.3616148,0.18662061,0.28423578,1.1178238,1.277384,0.24368806,-0.34114826,0.0943022,-0.65215546,0.61459094,0.8979819,-0.50759006,-1.0586214,0.62838084,-0.048402973,0.06817904,1.849529,-0.20582236,0.55873364,0.68043643,-0.48857525,-0.6988395,0.38167647,0.60382754,-1.2399908,-0.9929421,-0.39491248,-0.8390984,1.5521464,-0.16816895,0.117058165,0.19900125,0.2634422,-0.91681796,0.004507495,-1.3793494,0.011462191,0.48512405,-0.44987455,1.7703269,-1.5063723,-1.0918189,0.63311976,-0.6159432,-0.47277176,0.3801804,-0.05246865,-0.91782683,0.11006166
MMRF_1269,-1.0885738,2.073027,-1.3537606,1.1375464,-0.910759,0.7637349,0.441657,-0.21483374,-1.7814838,-0.05396308,0.1414711,-0.0434165,0.69379187,-1.3790157,-1.2000402,0.5310918,1.0059352,1.5080837,0.34435245,1.5089408,1.9623916,0.2644388,0.63221514,-0.15588127,-2.0424333,1.4512067,1.0998257,-0.9671783,-0.5642582,-1.2523164,-0.25131792,0.09418758,-0.19078769,-0.82783353,0.5739129,0.036301386,-1.6441181,0.59983826,-0.7559682,0.13792229,0.43547973,1.2259803,-1.122171,-0.7372138,1.0070688,-0.13306825,-1.2610209,1.4814032,-0.83233,0.6645455,1.2554834,1.4609135,-0.29715496,-0.84288365,-1.0810324,0.7097255,-0.77901614,-0.058756337,-1.1578913,1.3126221,-0.8392572,0.47247934,1.3258305,-0.31315157,-0.44126457,1.1587441,1.0085447,-1.596124,-0.4205893,0.61090946,-1.0568804,1.137266,0.9208698,0.5660637,0.7811789,0.9877787,0.76716435,1.6366895,0.02148291,0.41757092,-0.1040348,0.14976431,0.31417802,0.27566978,-1.3223152,-0.68525803,-0.99125785,1.429239,-1.6602197,-0.19967782,-0.59488326,0.3276986,-1.7383906,1.8420705,-0.99451536,-0.06742022,-0.12545645,-1.9116625,-0.53091234,0.68279254,0.59245926,-0.75406057,-0.0039826073,-1.1885172,-2.5561535,-0.16612257,-0.29192835,-1.5525056,-0.3352429,-0.5540625,-0.26534897,-0.29651007,0.017996568,-0.011981061,-0.36504954,0.02555264,-0.19575173,1.5366325,-0.33432594,-0.24640906,-0.6569929,-1.4036587,1.9241358,0.6602416,1.1942196,0.29504523,-0.35711995,2.433539
MMRF_1251,0.64511347,-0.76969874,0.5840706,0.17836706,-0.08084754,2.3330178,-1.1467342,-1.0530306,-0.8213103,-0.1561379,0.5740581,0.68797565,-1.2214314,0.6851212,-0.10182378,-1.0643395,2.0641286,-0.48859203,0.970975,-0.88429105,1.4988983,-0.9231131,-0.66137624,0.9394833,-0.84931767,-0.3681313,-0.69426113,-1.5708292,-1.2201766,-0.7091424,-0.753749,0.26536828,-0.07124912,1.3416164,1.149844,0.992751,0.68258643,0.96052843,-1.6149617,0.7136695,-0.46631277,1.3985507,2.437233,1.0073608,1.009175,-1.2208277,-0.039433975,-0.6022766,0.38116038,-1.1042458,1.4548037,1.5553786,-2.3190248,-0.3413799,-1.2360553,0.8576902,-0.2732324,0.74251086,0.26374906,0.6749997,0.5827639,-0.70597774,-1.315394,-0.7119972,2.1160743,-0.73102146,-1.2286757,1.3143467,-1.1910483,-0.29544026,-0.7800858,-1.9774202,-0.95470333,0.07727458,-0.9203342,-0.25052387,1.556868,-0.14427763,2.4941554,0.4975634,-1.2204608,-0.8778584,0.98669344,-0.38833296,-0.1985075,0.6977438,0.44719535,0.5837998,-0.38359797,-0.074004926,-0.8494482,0.7385803,1.7016057,-0.29028195,-0.36942005,-1.2514442,1.1628757,-1.1812503,0.14997508,-0.157893,-1.1699704,-0.50076705,0.39761508,-0.639463,0.034630135,0.6178716,1.4324934,-1.9879677,1.2772008,1.2250159,0.10197117,-0.8455693,0.5558505,-0.42703325,0.31460437,-0.024515582,0.30659926,-0.58672285,-0.7789799,0.4109817,0.52200764,0.84764934,-0.5567608,1.2681226,-1.1676089,-0.05412206,-1.37481,-0.19058713
MMRF_1328,-0.026820432,0.9119573,-0.22460061,-0.53958815,-0.43465775,-2.271464,1.44184,-0.9467623,0.71774554,-1.102115,1.2426909,-0.60550314,0.63233346,0.8008442,1.5889223,-0.1683811,0.18462178,-0.3678825,-0.51513094,-0.8709121,-0.23136246,1.3620545,1.014415,0.89407414,-1.6115637,1.063519,-0.67502725,-1.0945648,0.24322422,-0.25192103,0.036626115,-0.78012776,-1.7828289,-0.634182,0.16440123,1.8011311,0.41298705,-1.0885613,0.7665005,0.4657595,0.26121485,1.0619702,0.9195756,0.40591955,-0.56783855,1.7884408,-0.9428587,0.82160664,-1.2850984,1.986908,0.6346349,-0.39475194,-0.8538241,-0.8123377,0.22618026,-0.058446154,0.41699237,-0.8283411,-1.9417772,-1.3019661,-1.0332544,2.307689,0.8555295,0.31184512,-1.9729537,-0.8141533,0.10600786,-0.7156592,0.5024592,0.85000473,-1.1171739,-1.2679083,-1.9112574,-0.34709728,2.031864,-0.07187414,1.682523,1.5591053,-0.120222546,-1.3036442,-1.4281958,-1.4230139,2.103154,-1.3129832,-0.38779747,-1.2765641,0.5530078,1.8793764,-0.046912584,0.035196763,1.2582532,-0.18212512,1.4443485,1.0997887,-0.07847309,-0.7006998,-0.032549277,-0.7919157,0.58180183,-1.2622383,1.1843413,-0.40445924,-1.2489853,-0.40286633,0.30827743,0.1933788,0.5211086,-1.4382292,1.1473662,-0.0051945075,0.07947465,-0.13244511,-0.08409524,0.514271,1.7493278,0.26165465,-0.20132555,-0.83702594,-1.2063322,-0.5464324,0.5539358,-0.22794881,-0.40577435,-0.0022515967,0.3865284,0.12489457,0.41129753,1.0322852
MMRF_1171,0.86162156,-1.2322048,2.0588493,-0.06289772,2.0239682,-2.213514,1.245614,0.61823696,1.4318362,0.66345584,0.4049158,-0.8689968,1.0875747,0.9592447,0.60567135,-1.9961363,-0.15000565,-0.5974163,-0.030199414,-1.7562551,-1.0722721,1.5083076,-0.2202121,-0.38842905,1.6171597,-1.7771297,1.2181929,-0.07598722,-0.10447939,0.099115424,0.89496696,0.08327819,0.667604,0.64907724,-0.5871748,-0.49455065,-0.17871636,-0.79385674,-0.3873969,-0.84667027,0.07248386,-0.3303641,-2.1510117,0.31623554,-0.36772165,0.00017843675,-1.477083,-0.9524338,-2.3122222,0.8560229,0.3331815,-0.27378222,-0.24402213,0.32634807,1.6204091,1.5853293,1.654619,-1.4374498,-0.47649032,-1.543139,0.16634315,-0.4847418,-1.3089554,-0.090329766,-0.65966576,-1.3600565,-0.3667438,0.092456095,-0.45179653,0.71463907,0.36410856,-0.46259803,0.009269747,0.3592312,-0.56017405,-1.0316058,0.6809682,-0.52860767,-0.40776435,-0.5992035,1.1558175,0.64543194,-0.3894457,1.6886342,1.0362436,-0.63897604,0.274179,1.4708633,0.30514777,-0.74668264,0.90235597,-0.28483468,2.8359244,0.21102092,-0.53784657,1.2255828,1.5861382,0.85919327,-0.34521988,-0.08124658,0.4322434,1.4784832,-1.0901964,0.41953707,0.1527398,-0.72883195,-0.7005439,0.0018628826,-0.72731197,-1.4348501,1.3161724,-0.9284404,-0.26200327,-0.9887122,-0.6521906,-0.3851501,1.4265797,-1.0265752,-0.09539367,-1.1162153,1.9579406,1.3845747,0.31980014,-0.21898764,-0.73626286,0.23103644,-0.91433704,-0.37787342
MMRF_1354,0.9336191,0.27151442,0.6704429,-1.7305027,-0.116479516,0.1526416,-0.091878876,-0.26615456,-0.3912554,-0.25148407,-1.2296034,0.61242646,-1.5486606,0.03146621,-0.036602117,-2.7932231,-0.05382645,2.2200716,-0.6973707,0.21260299,-0.8719269,-1.8101755,-0.5308574,0.7376678,-1.0661782,1.0249372,0.78578067,0.34947267,1.4673091,1.6306094,1.108334,-1.3756576,-0.4573797,-0.7038592,0.703719,1.0741102,1.0788244,-1.7187418,-0.19970454,-1.2986277,2.155379,-0.7346394,0.13117413,0.7979532,0.66641736,0.7964561,0.66273165,0.9238796,0.12141029,-0.057630513,-1.0119476,0.05077002,0.3527847,-0.49831277,0.03241401,-0.37118584,-0.55507404,0.81859666,0.7840254,0.22795501,1.2634959,1.3385413,1.30905,-0.054045342,-0.9828059,-0.8399318,-0.6021227,0.58698124,0.6154855,0.057850767,-1.6407771,-0.2830139,-1.2820024,0.39462718,0.6112223,0.071546786,0.26844,-1.9165592,-0.75832886,-1.0795476,1.1874568,0.57774,0.7326217,0.93897265,0.8538572,-0.5377624,-1.4280523,-1.0303351,0.36709526,-0.7076013,0.9548827,-2.355165,-1.1843325,-0.3094769,0.85518247,1.3449656,0.8233111,0.5517529,1.4843731,-0.7889663,-0.8290779,-2.1196198,0.7525579,-1.330874,1.3852221,0.27045503,-0.90838045,-1.657013,-0.538224,-0.15541857,0.029222231,0.9847917,0.32555515,-0.43041545,0.14771579,0.1808662,-0.5204902,-0.19403051,1.9179988,-0.5936449,-0.38637567,0.8102605,-1.6578401,0.58320147,-0.17973244,2.0977569,1.4584372,-0.08770692
MMRF_1344,-1.2995759,-1.523688,0.33223155,-0.9916307,-1.0198607,0.0705771,0.6673202,-0.64021623,1.9804751,0.017214108,0.5236901,-0.17082754,-0.9641693,1.1144066,0.6854218,-0.28562754,0.893359,-0.52723783,0.44378176,-0.51758564,-0.21062455,-0.50873744,0.37916905,1.7145134,0.49241567,-0.5377473,0.21690835,1.38156,0.863154,1.0858798,0.3586072,-1.0371542,0.18226597,1.0062252,-0.22528689,0.49811333,0.22345705,-0.59280026,-0.18286546,-1.2936875,-0.8558687,0.6847019,1.1812067,1.0714391,0.68795896,1.2574838,-0.8346554,-1.1476337,0.84586644,-0.2519921,-1.2113008,0.3585615,1.3865826,-0.1885554,1.5324895,1.013309,-0.6000697,-0.5797737,0.44897014,-0.4633666,-2.1410105,-1.389184,0.057803065,-0.71014327,0.30054373,0.39270815,-0.60184574,-0.73724204,0.049488403,1.3375403,1.2564065,-1.1718812,1.613337,-2.104137,-0.0014533089,0.45702454,-0.6917065,-1.0118957,0.550187,0.38685843,-0.2323393,-0.6991618,-0.6283686,2.2575815,-1.8061515,0.5375228,-0.13298908,-0.5856987,-0.8952598,-0.3727094,0.8564494,-0.6210391,-0.15418708,-0.7847908,0.30351955,3.2567816,0.8649028,-0.17521001,0.046912905,1.145771,0.42801073,0.9236627,-0.35815743,-0.9867154,-0.60744125,1.5828556,-0.882944,0.7389253,-1.2228541,-0.6128179,1.0278527,-0.2856684,0.2447306,-1.8162838,-1.749174,0.94461054,-0.2299454,2.2694905,0.4267138,0.014490856,0.1003171,0.4045777,-2.2112422,-0.17942108,-1.0207365,0.25553715,-2.7122228,0.52551776
