patient_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
MMRF_1231,-1.003925,-0.60588735,-0.64379346,-0.39540458,0.39706665,0.98977053,0.16139893,1.7326244,0.47524235,0.5431443,-1.3399534,1.0198927,-0.24083197,0.4894051,1.857624,1.6802208,-0.39526674,-0.9645704,-0.25705174,-1.3784126,0.108645394,-0.9236426,0.50581497,0.5084484,-0.33792135,-0.99424744,-1.1553855,0.02276408,-0.9598361,-1.6204453,0.79019845,0.2956806,0.79954743,-0.6213065,0.61557186,-1.8910645,2.2709513,-0.8445342,0.31760365,0.8525144,0.32146105,-0.35457033,-1.5885162,-0.7445114,0.9369198,1.1200016,-0.24737975,0.47890145,1.1327541,-0.27678204,1.657283,1.2410859,-0.6777873,0.44727513,2.2063313,0.597114,-0.19723111,0.94227654,0.28317362,-0.18956356,-1.3625094,-0.32216257,0.27181536,0.53337616,-0.34727934,-1.5665883,2.762845,1.6376917,0.78637815,0.8514209,0.14211348,1.3287995,1.1337101,0.75172406,-0.8081008,-0.026113482,-1.1851588,-0.54796344,-0.7387714,-0.7477743,1.3508363,1.0059332,-0.36841494,-1.0157763,0.52686715,0.26447275,0.950844,-0.029025095,-0.5190308,1.6813844,-0.9424075,0.013775785,-1.7319318,-1.2404494,-2.056901,0.3107449,0.53610706,0.26490653,-0.8274386,0.4704255,-2.3851266,-0.40480775,0.7162483,-0.35857287,-1.4343607,0.5799416,0.8891796,-0.05387591,-0.30476934,-0.2982495,0.7937581,1.3946962,-0.41975364,-1.1586592,-1.270589,-0.48716173,-0.6162392,-1.9403759,-0.93890357,-1.0730102,-0.087143324,1.2177534,-0.18195347,-0.89071935,-0.20426235,1.0923117,0.8869742,-1.1287774
MMRF_1032,-1.1383778,0.41246665,0.58958244,-0.57901126,2.0452197,0.49936032,0.8111182,1.1179435,0.12525576,-0.5746495,0.3584807,1.2061235,2.042696,0.5701489,-0.009121564,0.5284707,1.1223798,-0.28768468,-0.62245095,-1.2401137,0.1111988,0.64307123,0.20685278,1.5845693,0.017388044,-0.90346795,-0.3552092,0.69771165,-0.6168332,-1.4291751,1.454476,-0.3813719,0.12947346,0.7858105,2.0705056,-0.32466632,2.112395,-0.6024018,0.5488816,0.08027945,0.9940388,0.631554,-1.1887894,-0.39837873,0.5474655,-0.23842318,-0.39338914,1.1003839,-1.2498806,0.61190724,-0.59865034,-0.070831046,0.30599004,1.204319,0.05941865,-1.3307188,0.34741178,0.61332726,2.641503,-1.1587582,-0.579331,-0.36761796,0.2267831,0.7153565,0.83345383,0.5301525,0.8529215,0.0060798265,-0.20307702,2.1840572,0.22035155,0.83694476,1.5664201,-1.1834869,-1.7184091,-1.6277303,0.062157493,-0.49172333,-0.5275823,-0.024045143,-0.31669375,-0.140748,1.6178752,-1.7179201,-1.660952,-1.3061826,-2.231946,-0.9497428,-0.66342384,-0.35836393,1.7916362,0.3200144,-0.897069,0.8450919,-0.14949991,-2.5152636,0.72653955,0.15861765,0.10055822,-0.47391728,-0.44336116,0.024318041,1.643594,0.62831515,-0.2297998,-0.3126638,-0.3833777,-0.5343223,-0.7817931,1.0176008,-1.4757712,-0.010929931,-1.4418312,-1.0162648,-0.79138756,-1.5321373,-0.6925974,1.2122291,-0.79716146,-0.11552309,0.16214322,-0.25095862,1.4467131,-0.2393934,-1.9432625,-0.066139996,-0.664788,-1.1695787
MMRF_1327,0.58930707,1.5832943,0.926584,-0.5648278,-2.1866455,0.38567287,-0.7760564,0.15377527,0.31183022,-0.19704245,-0.16945273,-0.70360243,-0.8281101,-0.83439076,-1.6021328,-2.096925,0.821166,-1.7463502,-0.54226416,0.42173052,-1.1644274,-0.919728,-0.07775607,-1.4550544,-0.7675811,1.0961612,0.34217197,0.37267807,1.5978822,1.8556361,0.5812538,-0.76365274,1.1549599,-0.6378635,-0.9948699,1.1593333,-0.90468633,0.18673748,0.85188746,-1.0637437,-1.0623971,-0.15392657,0.5717926,0.33729988,0.32439923,-0.7945212,-1.1022944,-0.35404757,-0.669279,-0.45801252,-0.4710594,0.408597,-1.7102205,-0.0001812242,0.72209394,1.2543713,0.785345,-1.2811195,-1.1758139,1.4205104,1.2362111,-0.33668566,0.65490204,0.4926198,-1.2123985,-0.450278,-0.18225236,-1.25233,0.09451228,-0.15797925,-1.210716,0.7752925,-2.0126793,0.42921895,2.2171345,-1.0305271,1.1882033,0.974328,0.16651039,0.77722067,-0.8892932,-0.4165617,-1.1218573,1.0144538,0.51042175,1.663848,-0.58106357,0.123968184,-0.3352907,-0.2898813,-0.8032923,-0.3230815,1.1675158,-0.053408466,0.058173552,1.4920555,1.1446632,1.2749349,0.4873563,1.2571869,-0.41518375,1.6226923,-1.638423,0.08186592,0.60858476,-2.0272322,1.0896735,1.102485,-0.48859775,-0.36183426,1.3950077,-0.5515019,-0.26236352,-0.2956331,0.9599458,0.9540754,-0.13636449,0.6732958,0.52298594,-1.064201,-0.69704443,-0.32399738,-0.6299762,1.821067,-1.1246175,2.0734107,-1.0452707,1.6877869
MMRF_1210,-0.6134678,1.5059552,1.1049654,1.4773134,1.1156614,0.6978769,0.58268267,1.6921144,0.27925482,0.26612136,0.11653168,-0.08418203,1.1397386,1.1765583,0.670625,-0.19586432,0.05393065,0.24788475,-0.79675925,0.62763536,0.71611494,-2.3879666,0.5224236,-0.18225747,2.1688662,-1.8838465,0.046544272,-3.1787446,-0.8657361,-0.11921008,0.8926063,-0.43377525,-0.4118756,0.3693485,0.35683239,1.1961248,-1.4166907,0.50179243,1.276227,0.011914948,0.3072873,-0.22120401,-0.6367632,0.31296638,-0.112219125,0.5057858,1.308011,0.15244977,-1.328265,0.38330004,-1.3018957,-0.5571217,0.1826274,-0.6982315,-0.21211931,-0.11130786,-0.38145307,0.5827278,1.1528741,-0.6891396,-1.9085878,0.0014025308,-0.63294244,-0.9018088,0.5165899,0.6841961,-0.4292012,-0.19781262,-2.0702891,2.4609842,-0.4246216,1.6720873,-0.18066397,-0.89054716,0.122909375,0.5392218,-2.3296278,-0.7269826,1.0662458,0.058657214,-1.8939252,0.27153456,1.7531495,-0.52106327,-1.2726023,-2.6747696,-0.75306547,1.1966544,-1.3017527,-2.118924,1.5444845,0.13940874,-0.2884662,-0.45659274,-0.11439427,-0.77598983,0.33586085,-0.064805724,2.0400805,0.13795562,0.6284311,0.9598148,0.026848957,-1.2964839,0.46724966,-0.40825158,-0.41775927,-0.92528343,0.2562766,0.41957238,-0.6357044,0.57016206,-0.69862163,1.0140514,-0.3133237,0.15604745,0.3190831,1.0516762,-0.36024413,-0.6285108,0.22936693,-0.44196007,0.0656889,0.9516579,-0.2466296,-0.73171514,1.1243175,0.29452586
MMRF_1269,-0.25282815,-0.2614648,-1.1378272,-0.7098343,-2.4595113,0.07505003,1.1663158,-0.8975578,1.3276114,1.2515529,-0.5671816,-0.53468335,-1.227556,0.6081775,-0.06794884,0.7009342,-0.6209971,-0.7837559,0.44760406,-1.4865589,0.6326121,-0.69789654,1.3338991,0.53531986,-1.3314056,1.142998,-0.9988763,0.048985712,0.31248352,-0.44886303,0.46833938,-0.05704445,0.39106902,-0.78605044,-1.1610512,-2.2066581,0.6609677,0.72686565,-0.23229794,0.38829285,-0.49157166,-1.0593745,-1.1734046,0.027551735,-0.42345417,0.30854136,-2.3999772,-0.12010595,0.9406099,-0.5387131,1.7450788,1.3889295,0.0912678,-0.26154026,1.3315462,0.2140625,0.21464968,1.202729,1.157748,-0.22516362,-0.40239686,0.3521476,0.77249444,0.5123802,-0.5151479,-1.8830177,1.0900813,1.1136165,0.4279202,-1.1580033,0.58055574,0.5439858,1.2401673,0.07356009,0.04055226,0.6631134,-0.6671255,1.3396708,0.2674429,-0.8408853,0.1160239,0.53599143,-0.56762564,1.1456198,2.200547,0.8147199,0.9399951,-0.7653609,-0.17742027,2.738499,-0.70578384,-0.42336896,0.22393745,-1.8183887,-2.2842984,0.5487807,1.3913151,0.57168776,0.5187673,0.15007594,-1.8725381,0.25514263,0.20507969,-0.41979066,-1.0688082,0.09628864,0.96463096,-0.06667316,1.0431252,-0.55680263,1.1803118,-0.8086175,0.012085199,-0.43578747,-0.9489662,0.24574395,-0.8617551,-2.3708508,1.1771692,-0.6772423,-0.34033945,0.30114904,0.5100647,-2.3341246,1.7671862,0.82231975,0.70673907,-0.44000062
MMRF_1251,-0.42392913,-0.5961749,0.035617247,-1.8166043,-2.033978,0.28558213,-1.5108914,-1.6178049,1.0008587,0.36263147,-0.7151742,-0.7662945,-1.9497126,-0.4721314,0.014613156,-0.30085686,0.81577134,0.047698718,-0.15915905,1.7261682,1.2889203,-0.48666355,1.161778,-1.419525,0.56332767,0.07126778,0.11657412,2.3677306,0.9826056,-0.7752906,-1.0980588,0.85441715,1.0449351,0.62561417,-0.38287234,-0.5884279,-0.13738027,0.5888134,-0.43965545,0.3471346,0.11399364,0.03369703,1.5155026,-0.7231514,0.20227808,-0.8809231,-0.3351355,0.40186295,0.9316129,-1.3001518,0.7558719,-0.30029956,1.403115,-1.3646317,-0.2512414,-0.13440177,-1.0461322,-0.012064692,-0.4784107,0.095870085,1.3341233,1.2660012,-0.14374153,0.8342202,-0.30277777,0.7428033,-0.98102707,-0.8186582,1.0536976,-0.7662257,-0.9524333,0.51212794,-0.84339374,1.4834677,0.9878925,-0.46361458,-0.41944602,-0.40624878,0.119105816,-0.7991321,-0.2807132,0.008179622,-0.21211945,1.9773369,0.99360555,2.2956011,-0.5628081,-1.7742218,1.687236,1.1145102,-1.9750477,1.3843976,0.42366117,0.70095164,-1.3190095,1.1732483,-1.3972079,-0.40775234,0.0037574102,-0.4048888,-0.28912786,2.014406,0.45608583,0.43489888,0.62639296,-0.44484657,0.5820174,-0.3230417,-1.2017417,-0.573491,0.04165326,-0.87021095,1.7164794,0.27341363,1.7900676,-1.0979605,-0.727571,0.7707361,0.3688098,-0.715963,0.6320733,-1.5546435,-2.2268667,-1.0474325,0.76244605,0.70483625,-1.4858061,1.2924198
MMRF_1328,-0.04694034,1.7961923,-0.28249663,0.19441363,-0.86643916,-0.5634121,1.2910804,1.2135097,-0.7145679,-0.29287177,-0.4693501,-2.5338135,-0.9615232,0.7082182,-0.82593673,0.41454422,-0.028262915,1.4960223,-0.90709364,1.0465791,-0.72045326,-2.484164,0.68899715,0.91966486,0.6652191,-1.6531729,0.06890328,-1.1290119,0.5618186,1.0313936,0.92047316,0.6094979,-0.40998238,0.068088844,-0.87056255,0.39685607,-1.2155899,0.5442943,0.5338384,-0.76670045,-1.1622446,0.53806525,-1.5323709,0.6485951,1.0816643,1.0392902,-0.6705799,-0.8815463,0.08361084,-0.023513865,1.0631018,-0.6771282,-0.64662796,0.3897975,1.9802475,0.59360176,0.0955381,1.4581467,2.0668774,-0.12931289,0.11253784,0.17376696,0.85666585,0.70934844,-1.142501,-0.73906076,1.6947347,0.05338822,-0.9732154,-0.58813924,-0.78101975,0.3334391,-0.9915857,-0.005742492,0.97091764,0.5991997,-2.1751132,1.6482906,-0.4269204,1.0123664,-1.0187199,0.30579856,0.93708855,-0.8591696,0.90234315,-0.86272055,0.7663032,-0.747374,-0.6365659,-2.1282067,-1.1099551,-0.9243356,0.84442353,0.27402902,-0.78967154,0.13799666,-1.0812598,1.4861307,-0.9297597,2.3725846,-2.1259665,-0.30856293,-1.1116283,-0.8598398,0.31425357,-0.029503841,-0.5959227,1.5148236,-0.67311615,0.21368466,0.23341624,1.0461528,0.13646042,-0.17637067,1.1153159,1.39999,-0.4769335,0.69479483,0.29948035,-0.47386673,0.009169368,1.6252451,-1.3131177,0.14064008,-1.8971055,0.30333117,0.77155995,0.19654754
MMRF_1171,-0.4576369,-1.6474329,0.38141912,-0.78037316,1.5268301,-0.16350979,0.23145927,0.0028524818,-1.3181169,0.20274122,-0.15390503,0.86283636,0.4876054,-0.7770877,-0.36866242,-1.4604721,-0.2612821,1.2196168,0.67711115,-0.21068545,-0.31869236,0.5495057,-1.3696876,0.7469144,0.1033778,-0.501155,1.0691102,0.09900118,-1.2713525,-0.118611574,-1.3000485,-0.97456956,0.8689828,2.2530196,-0.18469162,0.90572804,1.0170655,0.40454978,0.032229878,0.26489156,1.1791718,1.7635248,0.7753086,-2.325914,0.6840741,0.39310402,-0.32789254,1.1619899,0.4716382,0.65870875,0.11094076,0.41279796,0.31803077,0.93819416,-0.3268596,-2.2490678,-2.3327312,-1.1071185,0.1420782,0.04208315,-0.51983297,1.0604779,0.4734563,2.3742402,1.440882,1.049071,-1.2048613,0.09739104,1.4539722,1.482489,-0.82103735,1.521729,0.71338123,-0.17244902,-0.68209624,-1.0357629,1.881753,-1.3897189,-0.017107684,0.20406456,-1.220128,-0.18997061,0.51338124,-0.6847521,0.10757409,-1.3243042,-0.88520145,-0.38908568,0.67126966,-0.7982767,0.65635544,0.40064186,1.1523582,0.40629244,2.3259957,0.09236384,0.9132407,-0.9820643,-1.124924,-2.2226217,0.79851013,0.31034726,0.7956924,1.0497607,1.866079,-1.2236694,-0.536409,-0.27467155,0.461233,0.38477132,-0.63058656,-1.1093895,-0.2945834,-0.3520197,-3.9345585e-05,-1.5648699,0.726346,1.2086977,-0.4167485,-0.84241456,-0.64163077,-1.7695848,-0.21169725,0.010627138,-1.1714153,-0.63477296,-0.5613157,-1.3821906
MMRF_1354,-0.46588263,2.3864467,1.0958382,1.466065,1.6249375,0.17350376,-0.5044446,-0.3656134,0.2174705,-0.48853698,0.7202506,2.1204197,2.1080923,0.76282406,0.24610823,0.8290694,0.16993257,0.04962714,0.307087,-0.3761784,0.82437885,0.66892993,-1.2055523,1.2126933,-1.0242828,-0.5299855,-1.7058778,-1.8954277,-0.41844732,1.0511291,1.1983002,-0.41258487,0.3048607,-0.475279,1.7527896,0.94884914,-0.6734328,0.44256908,0.23104332,-0.91931665,-0.64518684,-0.20289004,0.6106979,0.6843478,-0.8016832,-0.06336452,1.1924422,-0.79589844,-1.2737764,0.95068944,-1.0354029,-1.1270965,-0.8463158,-1.4144206,-0.9574117,-0.45511293,1.0928035,-2.5275333,-0.8728021,0.15683448,-1.4662492,0.23734948,-1.3854191,0.093555905,0.4219393,1.0251526,-0.49300295,-0.084456995,-0.9337644,1.0276623,0.8493778,-1.4511986,-0.019140685,-1.4703597,0.19988394,-0.16869466,-0.1221384,-1.2152935,1.1307036,0.4886941,-0.5626997,0.07623172,-0.18729477,-0.4774285,-2.2296104,-0.43809563,-1.0988184,1.4151081,-0.84633106,0.034244172,1.6049768,-0.24214512,-0.80754423,-0.8705474,0.59139687,-0.3456718,0.9814612,0.40323478,1.0973669,-1.312016,1.7066753,0.38033676,-1.1327828,-0.77728736,-0.31988695,1.9236866,-0.5657902,-1.3235567,-0.12063523,0.014147285,-0.6529711,-1.5438516,-0.62926245,0.17363025,-0.22676034,0.91531104,0.57688946,0.004805756,-1.0976034,0.43288043,-0.39761278,1.1167883,2.0242162,0.32761744,0.92911065,-1.2143993,1.7177669,1.1430662
MMRF_1344,0.43291742,2.0954552,0.14318386,0.94607913,-0.29666328,0.28852478,-0.33132187,-0.5030753,0.08690706,-1.0227324,0.95883197,-2.0848868,-0.17001551,-0.21505935,-1.6738021,-0.78265053,-1.156613,0.5905726,-0.22450732,0.0855518,0.27288312,2.2704222,-0.9875715,0.1560376,0.82213265,0.28159872,1.7737422,-1.1108158,1.629347,1.1625172,-0.8082352,-0.37675533,0.044432245,0.48736376,-2.6621587,-1.6070442,-1.8512918,-0.12731752,0.29434374,-0.5228526,0.49040675,1.0676672,-0.44676274,1.0319229,-0.8522359,0.095384434,0.37128547,0.2608435,-1.0419124,-0.65023327,-0.7557318,-2.0780842,0.2838078,-1.0284262,-0.80208474,0.38939407,1.6597366,1.5386841,0.3058692,-0.7825032,1.1088871,-0.9680467,-0.5583821,-1.4103417,0.015835114,0.45330748,-2.0798132,0.49011305,0.7915522,0.30030182,0.551284,-0.4261917,1.1328523,-0.83354706,-1.3302102,0.7813998,0.4058052,0.95622313,0.695756,0.9874416,-0.40399042,-1.0635463,1.3592081,0.44178602,-0.016121913,-0.04252995,-0.5105971,1.8318317,-0.68347955,-0.9011712,0.09377113,-0.29375347,0.49004596,-1.0619245,1.011477,-1.5449946,-1.2475165,0.40771538,1.3912053,-1.0836217,0.7791136,-0.021013781,0.79779017,-0.70578617,0.011572059,-1.4176881,-2.2829618,0.2729023,0.73939484,-0.058453415,0.8703191,1.53777,0.12673333,1.857707,-0.7104997,0.10556999,1.3831222,-0.2088023,2.3022585,0.17219034,-0.18893705,-0.2000417,-0.5481801,-0.12619938,1.1004167,-0.4194341,-0.71046764,0.89766866
