"","1p36.33 ","1q21.1  ","1q21.3  ","1q22    ","1q44    ","2p14    ","2p13.3  ","2q22.1  ","3p21.31 ","3p21.1  ","3q23    ","3q26.2  ","4q31.3  ","4q35.1  ","5p15.33 ","5q11.2  ","5q31.2  ","5q33.3  ","5q35.3  ","6p24.3  ","6p24.2  ","6p21.33 ","6q21    ","7p21.3  ","7p15.2  ","7q34    ","8q13.1  ","8q24.21 ","9p13.2  ","9q22.2  ","9q34.13 ","10p14   ","10q22.3 ","10q25.2 ","11q13.3 ","11q23.1 ","11q23.3 ","12p13.32","12q24.31","14q11.2 ","14q32.33","15q15.1 ","15q23   ","15q24.2 ","16p13.13","16p11.1 ","17p13.2 ","17p11.2 ","17q22   ","18q23   ","19p13.3 ","19p13.11","20q11.22","20q13.12","20q13.33","21q22.11","22q11.22","22q13.1 ","1p32.3  ","1p22.1  ","1p13.1  ","2p23.3  ","2q31.1  ","2q37.1  ","3q26.32 ","4p16.3  ","4q22.1  ","5q21.1  ","6q25.2  ","7p22.3  ","8p23.2  ","8q24.13 ","8q24.3  ","9p21.3  ","10q24.32","11q22.2 ","12p13.1 ","12q23.3 ","12q24.33","13q12.11","13q14.2 ","14q23.3 ","16p13.3 ","16q12.1 ","16q23.1 ","16q24.3 ","17p13.1 ","17q21.2 ","17q25.3 ","18q12.2 ","20p13   ","22q13.33"
"MMRF_1580",-0.0082132,-0.0082132,-0.0082132,-0.0082132,-0.012075,0.0028623,0.0028623,8.7627e-05,0,0,0.022393,0.015951,0.016586,0.015675,0.0013357,0.0013357,0.0013357,0.0013357,0.0013357,0.0085623,0.0085623,0.0085623,0.0085623,0.00022627,0.00022627,-0.04053,0.0091193,0.0091193,0.0048068,-0.013177,-0.029942,-0.0098693,-0.016755,-0.016755,-0.011616,-0.011616,-0.011616,0.010094,-0.067199,-0.0068322,-0.0068322,-0.011248,-0.011248,-0.011248,-0.060529,-0.060529,-0.045549,-0.045549,-0.045549,-0.054504,-0.10333,-0.10333,-0.033455,-0.033455,-0.033455,-0.013728,-0.98487,-0.073071,-0.0082132,-0.0082132,-0.0082132,0.0028623,8.7627e-05,8.7627e-05,0.015951,-0.078726,0.016586,0.0013357,0.0085623,0.00022627,-0.019227,0.0091193,-1.0042,0.0048068,-0.016755,-0.011616,0.010094,0.010094,-0.067199,0.001197,0.001197,-0.0068322,-0.060529,-0.96383,-0.97547,-0.12958,-0.045549,-0.045549,-0.076531,-0.0057704,-0.033455,-0.10044
"MMRF_1583",-0.014438,0.013559,0.013559,0.013559,0.013559,0.0085406,0.0085406,0.0056191,-0.0028432,-0.0028432,0.0017303,0.012164,0.015234,0.015234,0,0.011745,0.00070305,0.00070305,0.00070305,0.51219,0.51219,0.51219,-0.97647,0.0042293,0.0042293,-0.00034986,-0.95424,-0.95286,0.94394,0.94394,0.94394,-0.0032585,-0.0032585,-0.0032585,0.0039515,0.0039515,0.0039515,-0.98086,-0.9803,-0.98152,-0.47792,0.012303,0.012303,0.012303,-0.026084,-0.026084,-0.037697,-0.037697,-0.018425,0.002563,-0.073947,-0.073947,-0.006884,-0.006884,-0.020759,0.0013141,-0.99716,-0.99716,-0.014438,-0.9737,0.012164,0.0016211,0.0056191,0.0056191,0.012164,0.003396,0.015234,0.01328,-0.97647,0.0042293,-0.95424,-0.95286,-0.95286,0.94394,-0.0032585,0.0039515,-0.98086,-0.9803,-0.9803,-0.9786,-0.9786,-0.98152,-0.026084,-0.026084,-0.023637,-0.023637,-0.037697,-0.018425,-0.018425,-0.0033948,-0.006884,-0.99716
"MMRF_1586",-0.041838,0.99247,0.99247,0.99247,0.98307,0.00063519,0.0063871,0.0045686,0.011062,0.011062,0.011062,0.031014,0.037217,0.037217,0.029325,0.029325,0.029325,-0.013686,-0.013686,-0.010094,-0.010094,-0.010094,0.035771,-0.023469,-0.023469,0.045229,-0.0016629,-0.026441,0,0,0,-0.0071958,-0.0071958,-0.0071958,-0.0047079,-0.0047079,-0.0047079,-0.0035745,0.0015255,0.32931,-0.0033243,-0.017391,-0.017391,-0.017391,-0.04211,-0.04211,-0.06652,-0.044957,-0.044957,0.036627,-0.098155,-0.074364,-0.030247,-0.030247,-0.06142,0.0086135,-0.073476,-0.073476,-0.041838,-0.94203,-0.13018,0.00063519,0.01419,0.01419,0.031014,0.037217,0.037217,0.029325,0.035771,-0.023469,-0.0016629,-0.026441,-0.026441,0,-0.0071958,-0.0047079,-0.0035745,0.0015255,0.0015255,-0.99277,-0.99277,-0.0033243,-0.04211,-0.04211,-0.0767,-0.0767,-0.06652,-0.044957,-0.044957,0.022725,-0.030247,-0.073476
"MMRF_1587",-0.092213,1.151,0.94201,0.94201,0.54559,0.020063,-0.0091421,0.032704,0.0099409,0.0076676,0.03369,0.044715,0.016504,0.016504,0.0015255,0.035947,-0.038578,-0.038578,-0.038578,-0.39074,-0.39074,-0.0055375,-0.016567,-0.074144,0.027919,0.015447,0.010982,0.010982,-0.12056,-0.0029701,-0.076678,-0.94474,-0.77431,-0.77431,0,0.0015734,0.010424,-0.01106,-0.0070576,-0.98843,-1.0568,0.014156,0.0011093,0.0011093,-0.063301,-0.0078863,-0.063703,-0.11046,-0.041431,0.023145,-0.095516,-0.095516,-0.032587,-0.032587,-0.032587,0.063795,-1.0251,-1.0251,-0.36193,-0.97367,-0.96869,0.0034687,0.017544,0.017544,-0.74985,0,0.016504,-0.038578,-0.016567,-0.074144,0.010982,0.010982,0.010982,-0.12056,-0.77431,0.0015734,-0.01106,-0.0070576,-0.0070576,-1.2929,-0.97445,-0.98843,-0.063301,-0.040209,-0.040209,-0.040209,-0.063703,-0.041431,-0.041431,0.023145,-0.032587,-1.0341
"MMRF_1589",0.00013863,-0.030032,0.018383,0.018383,0.018383,0.00097064,0.00097064,-0.010636,0,0,0,0,-0.0099565,-0.0099565,-0.0084385,-0.0084385,0.0076392,0.0076392,0.0076392,0.44155,0.44155,0.43286,-0.97381,-0.0036011,-0.0036011,-0.0037395,-0.042652,-0.042652,0.13613,0.13613,0.13613,0.00597,0.0058309,0.0058309,0.92263,0.94058,0.94058,-0.40992,-0.39975,-0.54985,-0.61072,0.0084743,0.0084743,0.0084743,0.060936,0.060936,-0.00013862,0.0038854,0.0038854,0.098997,0.39612,0.39612,0.016006,0.016006,0.016006,-0.0049844,0,0,0.00013863,0.00013863,0.00013863,0.00097064,-0.0024938,-0.0024938,0,-0.0099565,-0.0099565,-0.0084385,-0.97381,-0.0036011,-0.029721,-0.042652,-0.042652,0.13613,0.0058309,0.94058,-0.40992,-0.39975,-0.39975,-0.049559,-0.049559,-0.54985,0.060936,0.060936,0.060936,0.060936,-0.00013862,0.0038854,0.0038854,0.098997,0.016006,0
"MMRF_1595",0.010013,0.52678,2.5624,0.56436,0.17001,0.081177,0.081177,-0.01354,0.006109,0.006109,0.017264,-0.0018014,-0.1431,-0.1431,0.073546,-0.049289,-0.01354,-0.01354,-0.01354,0.015028,0.015028,0.015028,-0.015879,-0.00069303,-0.00069303,0.0066653,-0.0040162,0.47049,0.043271,0.043271,0.043271,0.013492,0.013492,0.013492,-0.0033243,-0.0033243,-0.44577,0.0052868,0.0056919,-0.86377,-0.86798,0.018506,0.018506,0.018506,-0.0092666,-0.0092666,-0.87044,-0.87044,-0.83372,-0.022606,-0.031359,-0.0092626,-0.0094132,-0.0094132,0.049966,-0.0123,-0.28655,-0.28655,0.010013,0.0083582,0.0063871,0.092025,0.021463,-0.01354,-0.87252,-0.17294,-0.17294,-0.049289,-0.015879,-0.00069303,-0.88109,0.47049,0.43988,0.043271,0.013492,-0.0033243,0.0052868,0.0056919,0.0056919,-0.87329,-0.87329,-0.86798,-0.022786,-0.87393,-0.87393,-0.87229,-0.87044,-0.87044,-0.84106,0.0018674,-0.61172,-0.28655
"MMRF_1593",-0.30039,-0.30039,-0.21169,-0.21169,-0.23116,0.0069212,0.0069212,0.0056919,0.0023581,0.0023581,0.0023581,0.0023581,-0.63944,-0.64861,0.5822,0.5822,0.5822,0.5822,0.5822,0.040185,0.040185,0.040185,0.040185,0,0,0,-0.60245,-0.5987,0.60304,0.60304,0.60304,-0.010784,-0.010784,-0.010784,0.62297,0.62297,0.62297,-0.59565,-0.60089,-0.64104,-0.64104,0.71565,0.71565,0.71565,-0.55577,-0.56982,-0.056846,-0.056846,-0.056846,-0.10368,0.58023,0.58023,0.037076,0.037076,0.037076,0.60395,-0.66947,-0.66947,-0.30039,-0.30039,-0.30039,0.0051359,0.0056919,0.0056919,0.0023581,-0.68016,-0.63944,0.5822,0.040185,0,-0.60439,-0.5987,-0.61104,0.60304,-0.010784,0.62297,-0.59565,-0.60089,-0.60089,-0.64771,-0.64771,-0.64104,-0.55577,-0.56982,-0.56982,-0.56982,-0.056846,-0.056846,-0.056846,-0.10368,0.037076,-0.66947
"MMRF_1596",0.022865,0.017508,0.0020805,0.0020805,0,0.0020805,0.0020805,-0.01291,0.058891,0.058891,0.052257,0.015249,-0.066252,-0.066252,0.93773,0.93773,0.93773,0.93773,0.93773,-0.025893,-0.025893,-0.025893,-0.025893,0.041741,0.041741,-0.011627,-0.018765,-0.018765,0.5381,0.99115,0.99115,0.21039,0.21039,0.21039,1.9455,1.9215,1.9215,0.014749,-0.0084385,-0.011839,-0.011839,1.8715,1.8715,1.8715,-0.011887,-0.011887,-0.95587,0.012516,0.012516,-0.015191,1.137,1.137,0.018523,0.018523,0.018523,-0.017941,-0.97288,0.020623,-0.99018,-0.99018,-0.99018,0.0020805,-0.01291,-0.01291,0.015249,0.00018439,-0.066252,0.93773,-0.025893,0.041741,-0.018765,-0.018765,-0.0048461,0.5381,0.21039,1.9215,-0.020275,-0.0084385,-0.0084385,0.013642,-0.97338,-0.011839,-0.011887,-1.1424,-0.16917,-0.16917,-0.95587,0.012516,0.012516,-0.015191,0.0072217,-0.98681
"MMRF_1603",-0.029175,0.76619,0.76619,0.76619,0.76619,0.77772,0.77772,0.77118,0.19299,0.19299,0.19299,0.19299,-0.0040162,-0.0040162,0.97605,0.97605,0.98121,0.98121,0.98121,-0.0018014,-0.0018014,-0.0018014,-0.0018014,-0.0048461,-0.0048461,-0.0042572,-0.0026322,-0.0026322,0.96781,0.9777,0.9777,0.0015255,-0.0008316,-0.0008316,0.19771,0.19771,0.19771,0.00083195,0.00083195,0.00041593,-0.0044222,0.99032,0.99032,0.99032,0.11668,0.11668,-0.0089906,-0.0089906,-0.0089906,-0.0027903,0.94282,0.94282,-0.0037395,-0.0037395,-0.0037395,-0.00069303,0.9229,0.9229,-0.029175,-0.054006,-0.054006,0.77772,0,0,0.19299,-0.005814,-0.0040162,0.98121,-0.0036597,-0.0048461,-0.0026322,-0.0026322,-0.0026322,0.96781,-0.0008316,0.19771,0.00083195,0.00083195,-0.0095249,-0.77719,-0.77719,-0.98063,0.11668,0.11668,0.11668,0.11668,-0.0089906,-0.0089906,-0.0089906,-0.0027903,-0.0037395,0.92746
"MMRF_1605",0.016565,0.016565,0.016565,0.016565,0.04741,0.00055459,0.00055459,-0.0044234,0.0012481,0.0012481,0.0012481,0.0012481,-0.005261,-0.005261,0.82275,0.91723,0.91723,0.91723,0.91723,-0.00027724,-0.00027724,-0.00027724,-0.00027724,0.0033299,0.0033299,-0.0044312,-0.94846,-0.94846,-0.0024938,-0.0024938,-0.010579,0.0056919,0,0,-0.0008316,-0.0008316,-0.0008316,0.0019418,0.0019418,-0.94824,-0.96285,0.0054139,0.0054139,0.0054139,-0.0071958,-0.020374,-0.00041585,-0.00041585,0.93976,0.0027745,-0.014503,-0.014503,0.00069327,0.00069327,0.00069327,0.0016642,0,0,0.016565,0.016565,0.016565,0.00055459,-0.0044234,-0.0044234,0.0012481,-0.0063668,-0.005261,0.91723,-0.00027724,0.0033299,-0.94415,-0.94846,-0.94846,-0.0024938,0,-0.0008316,0.0019418,0.0019418,0.0019418,-0.95394,-0.95394,-0.94824,-0.0071958,-0.91886,-0.91886,-0.91995,-0.00041585,-0.00041585,0.93976,0.0027745,0.00069327,0
