"","1p36.33 ","1q21.1  ","1q21.3  ","1q22    ","1q44    ","2p14    ","2p13.3  ","2q22.1  ","3p21.31 ","3p21.1  ","3q23    ","3q26.2  ","4q31.3  ","4q35.1  ","5p15.33 ","5q11.2  ","5q31.2  ","5q33.3  ","5q35.3  ","6p24.3  ","6p24.2  ","6p21.33 ","6q21    ","7p21.3  ","7p15.2  ","7q34    ","8q13.1  ","8q24.21 ","9p13.2  ","9q22.2  ","9q34.13 ","10p14   ","10q22.3 ","10q25.2 ","11q13.3 ","11q23.1 ","11q23.3 ","12p13.32","12q24.31","14q11.2 ","14q32.33","15q15.1 ","15q23   ","15q24.2 ","16p13.13","16p11.1 ","17p13.2 ","17p11.2 ","17q22   ","18q23   ","19p13.3 ","19p13.11","20q11.22","20q13.12","20q13.33","21q22.11","22q11.22","22q13.1 ","1p32.3  ","1p22.1  ","1p13.1  ","2p23.3  ","2q31.1  ","2q37.1  ","3q26.32 ","4p16.3  ","4q22.1  ","5q21.1  ","6q25.2  ","7p22.3  ","8p23.2  ","8q24.13 ","8q24.3  ","9p21.3  ","10q24.32","11q22.2 ","12p13.1 ","12q23.3 ","12q24.33","13q12.11","13q14.2 ","14q23.3 ","16p13.3 ","16q12.1 ","16q23.1 ","16q24.3 ","17p13.1 ","17q21.2 ","17q25.3 ","18q12.2 ","20p13   ","22q13.33"
"MMRF_1231",-0.0024148,0.028344,0.028344,0.028344,0.028344,0.013213,0.013213,-0.00020497,0.0061629,0.0061629,0.0114,0,-0.0088526,-0.0088526,-0.0029091,-0.0029091,0.0086369,0.010703,0.010703,0.045849,0.045849,0.014812,-0.010957,-0.068177,-0.00032801,0.010564,0.011958,0.011958,-0.005261,-0.005261,-0.005261,0.033267,0.0088631,0.0086135,-0.023292,-0.0046635,-0.0046635,0.024011,0.022444,0.0076392,0.0076392,0.015369,0.029325,0.029325,0.0012481,0.0012481,-0.0059522,-0.0059522,-0.0024938,-0.01877,-0.03504,-0.03504,0.033831,-0.0099023,-0.0099023,-0.013815,-0.029175,-0.029175,-0.0024148,-0.00088759,-0.00088759,0.013213,0.0052749,0.0052749,0,-0.016429,-0.015462,-0.052159,0.036642,-0.068177,0.011958,0.011958,0.011958,-0.005261,0.02511,-0.0046635,0.024011,0.022444,0.022444,-0.041431,-0.041431,0.0076392,0.0012481,0.0012481,-0.0077137,-0.0077137,-0.0059522,-0.0024938,-0.0024938,0.010146,0.033972,-0.029175
"MMRF_1032",-0.007472,-0.0095426,-0.49934,-0.0055375,0.017544,-0.0094046,-0.0094046,-0.01281,-0.0063964,-0.0063964,-0.38493,-0.020824,0.88086,0.88126,0.95017,0.93482,0.94241,0.023706,0.97688,-0.018778,-0.018778,-0.016979,-0.022881,-0.01904,-0.0026322,0.0072217,0,0,0.96021,0.95567,0.016705,-0.0051227,0.014166,0.014166,0.95365,1.9193,1.9193,-0.93983,0.025812,0.022164,0.014609,0.9361,0.94731,0.94731,0.012097,0.012097,0.0011093,0.0052749,-0.020412,-0.0013847,1.8842,1.8842,0.01447,-0.9174,0.042307,-0.0040162,0.023566,0.0061271,-0.007472,-0.027398,-0.027398,-0.94824,-0.036265,0.017348,-0.037626,0.91723,0.85768,0.86612,-0.96424,-0.01904,-0.026167,0,0,0.90512,0.014166,0.9361,-0.9676,-0.57308,0.025812,-0.013815,-0.020412,-0.011589,-0.9286,0.012097,0.012097,0.012097,0.029184,-0.021098,0.006109,-0.0013847,0.01447,0.0061271
"MMRF_1327",-0.86105,0.9005,0.9399,0.9399,0.91703,0.044756,0.044756,0.047836,0.017124,0.017124,0.013117,0.013117,-0.18333,-0.18333,0.023987,0.023987,0.023987,-0.018353,-0.018353,0.024909,0.024909,0.024909,0.040222,0.032845,0.032845,0.023756,-0.028081,-0.028081,0.035665,0.035665,0.035665,-0.029994,-0.029994,-0.062495,0,0.012795,0.012795,-0.046854,-0.11335,0.075271,-1.0323,0.0084743,0.0084743,0.0084743,-0.02384,0.010285,-0.041702,-0.041702,-0.041702,0.27222,-0.023977,-0.023977,0.0080567,0.0080567,0.0072217,-0.00041585,-0.061823,-0.061823,-0.79836,-0.79836,-0.79836,0.044756,0.046241,0.046241,0.013117,-0.76363,-0.18333,0.023987,-0.023292,0.032845,-0.028081,-0.028081,-0.028081,0.035665,-0.062495,0.012795,-0.046854,-0.042924,-0.11335,-0.98428,-0.98428,-0.99236,-0.02384,-1.0114,-1.0163,-1.0163,-0.041702,-0.041702,-0.041702,0.27222,0.0080567,-0.061823
"MMRF_1210",-0.072216,-0.032255,-0.032255,-0.032255,-0.054766,0.93924,0.93924,1.007,-0.014716,-0.018141,-0.018141,-0.0018796,1.0031,1.0031,0.79953,0.97305,0.97305,0.97305,0.97305,-0.018991,-0.018991,-0.018991,-0.018991,0.93314,0.93314,0.87317,0,0.0049184,1.9224,1.9224,1.6869,-0.064316,-0.091442,-0.08601,0.9399,0.9399,0.86144,-0.024465,-0.042963,-0.010389,-0.068312,1.8518,1.8518,1.8518,-0.14946,-0.10743,-0.15226,-0.15226,-0.11894,-0.032391,1.48,1.48,0.83185,0.83185,0.70827,0.91267,-0.17974,-0.17974,-0.072216,-0.072216,-0.036012,0.93924,1.007,0.94271,-0.0018796,0.93517,1.0031,0.97305,-0.018991,0.93314,-0.066193,0.0049184,-0.085665,1.9224,-0.08601,0.9399,-0.024465,-0.042963,-0.042963,-0.037431,-0.037431,-0.068312,-0.14946,-0.10743,-0.17165,-0.17165,-0.15226,-0.18338,-0.11894,-0.032391,0.93761,-0.17974
"MMRF_1269",-0.049019,1.0304,0.93447,0.93447,0.89929,-0.00013862,-0.00013862,0,0.0086135,0.0086135,0.0034957,0.0034957,0.016286,0.016286,0.00597,0.00597,-0.0038445,-0.0038445,-0.0038445,0.0016642,0.0016642,0.0016642,0.0016642,0.98452,-0.0016629,-0.0033002,0.0087528,0.0087528,0.0030522,0.0030522,0.0030522,-0.01251,-0.010508,-0.010508,0.75757,0.010982,0.010982,-0.00027724,-0.00027724,0.0041632,-0.054068,-0.010922,-0.010922,-0.010922,-0.015054,-0.024114,-0.032041,-0.032041,0.86314,-0.0070653,-0.088507,-0.039801,-0.032178,-0.032178,-0.032178,-0.022469,-0.034768,0.84514,-0.4292,-0.92436,-0.91672,-0.00013862,0,0,0.0034957,0.007061,0.016286,0.00597,0.0016642,-0.068127,-0.0099048,0.0087528,0.0087528,0.0030522,-0.010508,0.010982,-0.00027724,-0.00027724,-0.00027724,-0.0083005,-0.0083005,0.0041632,-0.015054,-0.024114,-0.024114,-0.024114,-0.032041,-0.032041,-0.035993,0.0011093,0.0026357,-0.075345
"MMRF_1251",-0.61479,-0.01873,0.7982,1.7415,1.0122,0.028763,0.028763,0.060936,-0.035993,-0.17632,0.038913,0.038913,0.075128,-0.0010859,-0.37189,0.032563,-0.56346,-0.0123,-0.28154,0.016705,0.016705,0.016006,-0.9676,0.03031,0.03031,-0.019184,0.047126,0.047126,0.018103,0.018103,-0.054835,-0.015333,-0.13484,0.0086135,-0.15605,-0.020176,-0.020176,0.008892,-0.59195,-0.088772,-0.36805,-0.025683,-0.00069303,-0.24153,-0.1173,-0.1173,-0.16421,-0.13497,-0.12263,0.016845,-0.7037,-0.23887,-0.1183,-0.12611,-0.58321,-0.085059,-1.0929,-0.29118,-0.014494,0.062937,0.062937,-0.42046,-0.94952,-0.087447,0.038913,-0.25261,0.080889,0.032352,-0.99882,-0.55707,-0.03245,0.047126,-0.45811,0.018103,-0.038688,-0.020176,0.008892,-0.0052575,-0.6509,-0.9841,-0.9841,-0.13225,-0.46899,-0.1173,-0.13266,-0.60342,-0.13497,-0.12263,-0.49611,-0.43148,0.0015255,-0.42953
"MMRF_1328",-0.034768,0.94997,0.94997,0.94997,1.8632,0.0041632,0.0041632,0.0087528,-0.0018014,-0.0018014,0.011888,0.011888,0.016201,-0.96674,0.19847,0.19847,0.19847,0.19847,0.19847,-0.0090116,-0.0090116,-0.0090116,0.020203,0.0054139,0.0054139,0,0.20503,0.20503,0.014609,-0.0084173,0.90674,-0.017116,-0.017116,-0.034902,-0.0069195,-0.0069195,-0.0069195,1.1558,0.001803,0.00027728,1.0697,-0.0081624,-0.0081624,-0.0081624,-0.054648,-0.033132,-0.035312,-0.035312,-0.035312,-0.0034627,-0.070804,-0.070804,-0.031223,-0.031223,-0.031223,0.96884,-0.051721,-0.051721,-0.034768,-0.034768,-0.034768,-0.0046374,0.0087528,0.0087528,0.011888,-0.00027724,0.035383,0.19847,0.020203,0.0054139,-0.98548,0.20503,0.15891,0.014609,-0.034902,-0.0069195,0.001803,0.001803,0.001803,-0.96445,-0.96445,0.00027728,-1.0059,-0.033132,1.1048,-0.066922,-0.035312,-0.035312,-0.035312,-0.0034627,-0.031223,-0.051721
"MMRF_1171",-0.028765,-0.014228,-0.014228,-0.014228,-0.014228,-0.015879,-0.015879,0.00097064,0.10512,0.10512,0.10512,0.10512,0.0084941,0.0084941,0.99302,0.99302,0.99302,0.99302,0.99302,-0.0076101,-0.0076101,-0.0076101,0.034254,0.084787,0.084787,0.084364,0,0,0.98887,0.94017,0.94017,-0.024388,-0.018902,-0.018902,0.96452,0.96452,0.96452,-0.017113,-0.018765,-0.0092249,-0.095489,1.922,1.922,1.922,-0.059269,-0.030404,-0.068261,-0.068261,-0.068261,-0.0059522,0.84514,0.84514,-0.038578,-0.038578,-0.038578,-0.026167,-1.0298,-1.0298,-0.028765,-0.028765,-0.028765,-0.015879,0.00097064,0.00097064,0.10512,-0.015741,0.021603,0.99302,-0.89251,0.084787,0,0,-0.066922,0.98887,-0.018902,0.96452,-0.017113,-0.018765,-0.018765,-1.0008,-0.97619,-0.0092249,-0.059269,-0.030404,-0.050918,-0.050918,-0.068261,-0.068261,-0.068261,-0.0059522,-0.038578,-1.0298
"MMRF_1354",-0.062666,-0.018665,-0.018665,-0.018665,-0.018665,-0.0085099,-0.0085099,0.0068022,0.93566,0.93566,0.95237,0.95237,0,0.0076016,0.95564,0.95564,0.90785,0.90785,0.90785,0.93259,0.93259,0.93259,0.93259,0.94286,0.94286,0.94501,0.0045425,0.0045425,0.95851,0.95851,0.78306,-0.015641,-0.013418,-0.050407,-0.023765,-0.023765,-0.023765,-0.72564,-0.016329,-0.0040536,-0.097399,0.94863,0.90467,0.90467,-0.069368,-0.069368,-0.12557,-0.081907,-0.06669,-0.010959,0.78171,0.78171,-0.055131,-0.055131,-0.19756,0.96365,-0.15439,-0.11786,-0.062666,-0.96102,-0.018665,-0.64079,0.0068022,-0.012199,0.95237,0,0,0.92852,0.1931,0.94286,-0.042689,0.0045425,-0.053243,0.95851,-0.98021,-0.023765,-0.72564,-0.016329,-0.016329,0.0050983,0.0050983,-0.0040536,-0.70713,-0.069368,-0.069368,-0.069368,-0.081907,-0.06669,-0.06669,-0.010959,-0.055131,-0.11786
"MMRF_1344",-0.01673,0.96402,0.96402,0.96402,0.94936,0.97585,0.95324,-0.0058109,0,0,0.96637,0.96637,-0.010508,-0.010508,0.95028,0.9674,0.9674,0.9674,0.9674,0.9897,0.9897,0.9897,-0.013402,0.96576,0.96576,0.9635,-0.012024,0.0025539,0.96019,0.96267,0.94568,0.95836,0.95836,0.95836,-0.011473,-0.011473,-0.011473,-0.012713,-0.012713,-0.0011087,-0.029524,0.96083,0.96083,0.96083,-0.033677,-0.02384,-0.030677,-0.030677,0.01447,0.95857,1.8525,1.8525,-0.024114,-0.024114,-0.024114,-0.016704,-0.037898,-0.037898,-0.01673,-0.01673,0.96822,0.95239,-0.0058109,-0.00027724,0.96637,-0.010508,-0.010508,0.9674,-0.71995,0.96576,-0.012024,0.0025539,-0.022469,0.96019,0.95836,-0.011473,-0.012713,-0.012713,-0.012713,-0.98097,-0.98097,-0.0011087,-0.033677,-0.02384,-0.02384,-0.02384,-0.030677,-0.04097,0.01447,0.9596,-0.024114,-0.037898
"MMRF_1403",0.050819,1.9245,3.5285,2.6761,0.085654,0.03031,0.03031,-0.0099565,-0.015466,-0.015466,-0.027514,-0.027514,-0.10039,-0.10039,-0.030404,-0.030404,0.0046206,0.0046206,0.026935,0.078438,0.078438,0.078438,-0.0081624,-0.081765,0.024548,0.049682,-0.0073998,-0.059669,0.88086,1.0759,1.0759,0.04883,0.018243,-0.90995,0.0086889,-0.039775,0.10701,0,0.10921,1.0281,0.01419,0.035026,0.054012,0.066758,0.013367,-0.98639,0.10468,0.091899,0.095944,1.121,0.094201,0.094201,0.083487,0.083487,0.11902,1.0755,0.091155,0.091155,0.050819,-0.019977,-0.92228,0.029325,-0.050235,0.010842,-0.027514,-0.45158,-0.1026,-0.123,-0.89909,-0.081765,-0.95341,-0.059669,0.061222,0.8243,-0.89396,-0.039775,0,0.10921,0.10921,-0.96157,-1.0503,-0.95507,-0.94005,-0.98389,-0.92339,-0.94313,0.10468,0.075324,0.082765,0.92189,0.083487,0.091155
"MMRF_1408",-0.69755,-0.65139,-0.63276,-0.63276,-0.64459,0.024226,0.024226,0.033507,0.036046,0.036046,0.040426,0.040426,0.026051,0.0018998,0.047226,0.047226,0.047226,0.0059998,0.0059998,-0.00087291,-0.00087291,0,0.020301,0.023945,0.023945,0.03986,-1.209,-0.67005,0.036187,0.036187,-0.014594,-0.64322,-0.66287,-0.66287,0.020861,0.020861,0.020861,-0.64624,-0.7003,-0.64577,-0.64577,0.72219,0.72219,0.72219,-0.68936,-0.8727,-0.10385,-0.10385,-0.10385,-0.64424,-0.052572,-0.052572,-0.047165,-0.047165,-0.047165,-0.64737,-0.6939,-0.7256,-0.63247,-0.63247,-0.63247,0.024226,0.033507,0.033507,0.040426,-0.0033656,0.027596,0.047226,0.020301,0.023945,-1.2929,-1.2929,-0.73839,0.036187,-0.66287,0.020861,-0.64624,-0.63257,-0.7003,-0.63701,-0.63701,-0.64577,-0.68936,-1.2368,-0.66469,-0.20527,-0.10385,-0.10385,-0.10385,-0.63956,-0.047165,-0.7256
"MMRF_1338",0.0028046,0.011539,0.011539,0.011539,0.011539,-0.0022276,-0.0022276,-0.011061,0.01419,0.01419,-0.0096806,-0.0096806,-0.030354,-0.03375,-0.027944,-0.0037395,-0.0049401,-0.0049401,-0.0049401,0.018663,0.018663,0.018663,-0.024101,0.37303,0.37303,0.37743,0,0,-0.00097017,-0.00097017,-0.00097017,0.016565,0.0041779,0.0041779,0.00083195,0.026233,0.02539,-0.0029091,0.020763,-0.061286,0.035524,0.011484,0.017264,0.017264,-0.036265,-0.036265,0.0097276,0.0097276,0.0063871,0.58095,0.001803,0.001803,0.022164,0.022164,0.022164,-0.0096806,0.0090312,0.0090312,0.0028046,0.0028046,0.0028046,0.0079175,-0.011061,-0.0077892,-0.0096806,-0.014641,-0.030354,-0.0049401,0.0055529,0.37303,-0.0051861,0,0,-0.00097017,0.0041779,-1.2929,-0.0029091,-0.0041286,0.020763,0.0097276,0.0097276,-0.061286,-0.036265,-0.036265,-0.036265,-0.036265,0.0097276,0.0097276,0.0063871,0.58095,0.017802,0.0090312
"MMRF_1342",1.0701,-0.0033243,-0.0033243,-0.0033243,0.0063871,-0.023703,-0.023703,-0.03749,0.93305,0.93305,0.93223,1.7587,-0.0832,-0.0832,0.88011,0.89409,0.95896,0.95896,0.96247,0.016845,0.016845,0.0092124,-1.0081,-0.078953,0.00069327,-0.021098,-0.032097,-0.032097,1.0095,1.9147,1.9147,0.0095883,-0.014068,-0.0050473,1.9049,3.6569,2.964,0.015727,-0.9521,0.011958,-0.0098207,0.98763,0.98763,0.98763,3.6569,0.03863,0.0040243,-0.9681,0.021043,0.93061,0.98783,0.98783,0.022585,0.022585,0.022585,0.88066,0.024268,0.024268,-0.0033243,-0.0033243,-0.0033243,0.0024969,-0.03749,0.012097,1.9136,-0.069064,-0.071873,0.89409,-0.99041,-0.078953,0,-0.032097,-0.032097,1.0095,0.0081959,3.6569,-0.050301,-0.97951,0.32672,-0.017666,-0.017666,-0.0026322,0.055658,0.03863,0.03863,0.03863,-0.97054,0.030591,-0.98766,-0.043331,0.022585,0.024268
"MMRF_1352",-0.0086736,-0.0086736,-0.0086736,-0.0086736,0.0021984,-0.00015946,-0.00015946,0.005671,0.0076183,0.0076183,0.0076183,0.0076183,0.0020597,0.0020597,0.005532,0.005532,0.0015047,0.0015047,0.0015047,0.0041423,0.0041423,0.0041423,0.0041423,-0.0043137,-0.0043137,-0.0043137,0.0037256,-0.0092215,0.61568,0.61568,0.61568,0,-0.0032355,-0.010529,0.61568,0.62694,0.62694,-0.0041754,0.0021984,-0.00015946,-0.00015946,-0.0036219,-0.0036219,-0.0036219,-0.018236,-0.015074,-0.022216,-0.022216,-0.022216,-0.014524,-0.048768,-0.048768,-0.0066639,-0.0066639,-0.0066639,-0.011907,-0.041316,-0.041316,-0.0086736,-0.0086736,-0.0086736,-0.00015946,0.005671,0.005671,0.0076183,-0.0030494,0.0078966,-0.64021,0.0041423,-0.0043137,0.0037256,-0.0092215,-0.0092215,0.61568,-0.0032355,0.62694,-0.0041754,0.0021984,0.0021984,-2.0833e-05,-2.0833e-05,-0.00015946,-0.018236,-0.015074,-0.03136,-0.03136,-0.022216,-0.022216,-0.030015,0.0057425,-0.0066639,-0.041316
"MMRF_1380",0.082455,-0.017388,-0.017388,0.12559,0.032964,0,0,-0.03683,0.0072928,0.0072928,-0.029242,-0.029242,-0.10843,-0.086671,-0.051742,-0.026187,-0.0045903,-0.0045903,-0.0045903,0.076227,0.076227,-0.022107,-0.087467,0.053215,0.0033568,0.052179,-1.0276,-0.99218,-0.056137,0.055921,0.055921,0.025401,0.025401,0.072522,0.021052,-0.0041753,-0.0041753,0.00035912,0.06635,-0.99706,-0.9023,1.0758,1.0758,1.0758,0.13937,0.13937,-0.92362,-0.92362,0.087802,-0.048227,0.14442,0.14442,0.09937,0.09937,0.17888,0.97314,-0.90314,-0.90314,0.082455,-0.017388,-0.017388,0.1105,-0.069812,0.022003,-0.029242,0.086066,-0.10843,-0.0045903,-0.017188,0.053215,-0.96525,-0.99218,-0.93269,-0.056137,0.047841,-0.0041753,0.00035912,0.06635,0.06635,-0.96904,-0.0019607,-0.9925,0.13937,0.08255,0.079107,0.079107,-0.92362,0.087802,0.14085,0.0034479,0.09937,-0.90314
"MMRF_1389",0.029044,0.029044,0.029044,0.029044,0.025993,0.015727,0.015727,0.0027745,0,0,0,0,-0.046346,-0.046346,0.013213,-0.023164,0.0064008,0.0064008,0.0064008,0.03214,0.03214,0.03214,-0.032483,-0.062629,-0.071472,0.82275,0.035858,0.022725,-0.015054,-0.015054,-0.015054,-0.35442,-0.34425,-0.34425,0.055515,0.05466,0.05466,-0.3819,-0.3819,-0.39586,-0.38593,-0.37645,-0.35567,-0.35567,-0.21354,-0.2446,0.068665,0.068665,0.068665,0.011598,0.073115,0.073115,0.077142,0.077142,0.077142,0.0012481,0.085221,0.085221,0.029044,0.029044,0.029044,0.015727,0.00053788,0.00053788,0,-0.005814,-0.03885,0.0064008,0.016146,-0.062629,0.035858,0.022725,0.022725,-0.015054,-0.34425,-1.0136,-0.3819,-0.3819,-0.3819,0.018803,-0.97594,-0.38593,-0.21354,-0.2446,-0.26925,-0.21639,0.068665,0.068665,0.068665,0.020763,-0.9818,0.085221
"MMRF_1388",-1.0003,1.9806,1.9986,1.9986,1.9414,0.0049656,0.0049656,-0.0051827,0.98617,0.98617,0.98617,0.98617,-0.98667,-0.9943,0,0,0,0,0,0.019503,0.019503,0.019503,-0.070536,0.00069327,0.00069327,-0.95288,0.0091705,0.0062427,-0.0085525,-0.0085525,0.0055529,0.014051,-0.0089906,-0.0031859,-0.0088621,0.01251,0.01251,-0.0067813,0.011261,-0.0082026,-0.98134,0.0098669,0.0098669,0.0098669,0.0097276,0.0054139,-0.0055375,-0.0055375,-0.0055375,-0.028715,0.93854,0.93854,0.044857,0.046136,0.046136,-0.011198,-0.0062286,-0.0062286,-0.9764,-0.9764,-0.9764,0.0049656,0.010006,0.0022825,0.98617,-0.98259,-0.99593,0,-0.070536,0.00069327,-0.0055375,0.0062427,0.0062427,-0.0085525,-0.0031859,0.016565,-0.0067813,0.011261,0.011261,-0.015377,-0.015377,-0.98134,-0.97764,0.0054139,0.0054139,-0.0096238,-0.0055375,-0.0055375,-0.0055375,0.012934,0.055914,-0.0062286
"MMRF_1395",0.008159,-0.022744,-0.022744,0.0087546,-0.0047079,-0.015191,1.7709,-0.041799,0.98163,0.98163,0.90762,0.90762,-0.045008,0.81662,0.88835,0.91319,0.92896,0.92896,0.94332,1.0042,1.1835,0.096837,0.096837,0.84602,0.92266,0.93061,-0.03144,-0.0123,0.93895,0.93895,0.93895,-0.0015243,-0.015815,-0.012874,0.95447,0.90956,2.1202,-0.021373,-0.024703,-0.020138,-0.020138,1.9237,1.9237,1.9286,0.014749,-0.036946,-0.00055444,0.9304,0.0072217,-0.035312,1.0103,0.97626,0.00069327,0.00069327,-0.0040162,0.9229,0.012376,0.012376,-0.022744,-0.022744,-0.022744,-0.015191,-0.046952,-0.0040579,0.90762,-0.056442,-0.056442,0.85445,0.096837,0.998,-0.012395,-0.0123,-0.0030475,0.9107,-0.012874,0.90956,-0.021373,-0.024703,-0.024703,-0.036674,-0.036674,-0.020138,0.014749,-0.9749,-0.015329,0.0068044,-0.00055444,0.0072217,0.0072217,-0.045758,0.00069327,0.0049969
"MMRF_1391",-0.007472,0.0027745,0.0027745,0.0027745,0.0027745,0.0056919,0.0056919,0.0020805,1.0015,1.0015,1.0015,1.0015,0,0,-0.022195,-0.022195,-0.022195,-0.022195,-0.022195,0.0045002,0.0045002,0.0045002,0.006109,-0.0013858,-0.0013858,-0.015973,0.0030522,0.0030522,0.99447,0.00097064,0.00097064,0.0043021,0.0043021,-0.0067813,-0.006009,0.0015255,-0.0040389,-0.036538,-0.0049377,0.015447,-0.0089673,0.00597,0.00597,0.00597,-0.0089906,-0.0099565,-0.019726,-0.011203,-0.0019399,0.0013868,-0.022744,-0.022744,-0.010854,-0.010854,-0.010854,0.0019418,-1.0079,-0.031905,-0.007472,-0.58363,-0.37988,0.0056919,-0.99116,-0.0037395,1.0015,0,0,-0.022195,0.006109,-0.0013858,0.0030522,0.0030522,0.0030522,0.99447,-0.0067813,-0.59458,-0.98766,-0.0049377,-0.0049377,-0.99528,-0.99528,-0.0017282,-0.0089906,-0.0099565,-0.0099565,-0.0099565,-0.011203,-0.011203,-0.0019399,0.0013868,-0.0087146,-0.031905
"MMRF_1359",0.061079,1.0823,1.0823,1.0823,1.0123,0.016413,0.016413,-0.020001,0.022444,0.022444,-0.018902,-0.038548,-0.01068,-0.060867,-0.062293,-0.00069303,-0.00069303,-0.00069303,-0.00069303,0.035947,0.035947,0.035947,-0.026883,-0.045093,0.025026,-0.0036011,-0.0065953,-0.0099739,-0.030677,0.03369,0.03369,-0.47205,0.013492,0.013492,0.0087528,0.025671,0.025671,-0.96028,0.0075,0.045141,0.051814,0.026781,0.048404,0.048404,0.054518,0.031999,0.057653,0.057653,0.057653,-0.016841,0.05523,0.05523,0.042307,0.042307,0.042307,-0.012576,0.068378,0.068378,0,0,0,0.018235,0.070099,0.025812,-0.0056757,-0.039529,-0.051046,-0.00069303,0.0011093,-0.045093,-1.0152,-0.0099739,0.024829,-0.030677,0.013492,-1.0084,-1.2929,0.0075,0.0075,-0.98893,-1.2929,-0.96567,0.054518,0.031999,0.040482,0.040482,0.057653,0.057653,0.057653,-0.016841,0.042307,0.068378
"MMRF_1267",-0.011864,0.069525,0.069525,0.069525,0.074408,0.0012481,0.0012481,-0.00069303,0.0083351,0.0083351,0.0083351,0.0083351,0.0013868,0.0013868,0.00458,0.00458,0.00458,0.00458,0.00458,0.0091705,0.0091705,0.0091705,0.0091705,0.00041593,0.00041593,0.00041593,0,0,0.0012014,0.92898,0.92898,-0.0056757,-0.0056757,-0.0056757,-0.0051533,-0.0051533,-0.0051533,0.0011093,-0.0046384,-0.97167,-0.97651,-0.0066432,-0.0066432,-0.0066432,-0.032041,-0.023566,-0.039258,-0.039258,-0.039258,0.004719,-0.059,-0.059,-0.033625,-0.033625,-0.033625,-0.03245,-0.048748,-0.048748,-0.011864,-0.011864,0.069525,0.0012481,-0.00069303,-0.00069303,0.0083351,-1.0088,0.0059063,0.00458,0.0091705,0.00041593,-0.39208,0,0,0.0012014,-0.0056757,-0.0051533,0.0011093,-0.0046384,-0.0046384,-0.97167,-0.97167,-0.97651,-0.032041,-0.023566,-0.044144,-0.044144,-0.039258,-0.039258,-0.039258,0.004719,-0.020961,-0.048748
"MMRF_1274",-0.011155,0.92661,0.94819,0.94819,0.90861,0.92572,0.92572,0.0075433,-0.0041115,-0.0041115,-0.0041115,-0.0041115,-0.0028059,-0.0028059,0.91851,0.91851,0.91851,0.91851,0.91851,0.0036422,0.0036422,0,0,0.99557,0.99557,0.99557,0.094095,0.14701,0.92783,0.92783,0.87633,0.06613,0.06613,0.20019,-0.010879,0.0060132,0.0060132,-0.073435,0.012978,-0.00078849,-0.00078849,0.9258,0.9258,0.9258,-0.028312,-0.047848,-0.040166,-0.023797,-0.023797,-0.0043882,0.71421,0.71421,-0.026535,-0.026535,-0.026535,-0.017211,-0.041389,-0.041389,-0.011155,-0.011155,-0.011155,0.92572,0.0075433,0.0075433,-0.0041115,-0.0025892,-0.0028059,0.91851,0,0.99557,-0.96965,0.14701,0.12746,0.92783,0.06613,0.0060132,-0.045051,0.012978,0.012978,-0.94281,-0.94281,-0.00078849,-0.028312,-0.94333,-0.95033,-0.95033,-0.040166,-0.023797,-0.023797,-0.0043882,-0.026535,-0.041389
"MMRF_1037",-0.17929,-0.11064,-0.66096,-0.15432,-0.048748,0.89631,0.89631,0.98452,0.69821,0.73038,-0.17866,0.79801,-0.044415,0.56186,0.9742,0.96946,0.87348,0.86156,0.86156,-0.44244,-0.075078,-0.12056,-0.0041546,-0.046583,-0.011887,-0.07881,-0.016704,-0.050142,0.94282,0.86612,0.86612,-0.082535,-0.0941,-0.44005,1.5527,1.5527,1.5527,-0.15771,-0.20483,-0.020412,-0.18827,1.5533,1.5284,1.4186,-0.15745,-0.15745,-0.22024,-0.16472,-0.1665,-0.012576,1.5002,1.5002,-0.10681,-0.10681,-0.14013,0.03637,-0.2463,-0.2463,-0.17929,-0.038306,-0.094907,0.86433,0.92448,0.7982,0.72093,-0.025483,0.66493,1.039,-0.072631,-0.046583,-0.072645,-0.050142,-0.050142,0.94282,-0.091155,1.5527,-0.45832,-0.087885,-0.16088,-0.034495,-0.042735,-0.049316,-0.20871,-0.15745,-1.0153,-0.22846,-0.22024,-0.1665,-0.35544,-0.34836,-0.052666,-0.2463
"MMRF_1033",-0.61689,-0.029746,-0.029746,-0.029746,-0.056028,-0.038952,-0.038952,0.0038854,-0.045228,-0.22272,0.69839,0.038489,0.035947,0.035947,0.39529,0.88806,0.13539,0.7313,0.7313,-0.090096,-0.090096,-0.090096,0.72414,-0.0099565,-0.0099565,-0.12815,0.018803,0.0035874,0.76196,0.76196,0.6844,-0.073146,-0.12408,-0.11482,0.53873,0.82862,0.82862,-0.036538,-0.069702,-0.028355,0.14459,0.78003,0.76621,0.76621,-0.18895,-0.18895,-0.17234,-0.17234,-0.17234,-0.0067813,0.48595,0.48595,-0.10565,-0.10565,-0.49247,0.8015,-0.26264,-0.26264,-0.068529,0.033267,-0.071338,-0.066172,0.0038854,0.0038854,-0.52951,-0.27643,0.035947,0.88806,0.019363,-0.2939,-0.06424,0.0035874,-0.41838,0.057226,-0.12553,0.82862,-0.036538,-0.069702,-0.19146,-0.04067,-0.04067,-0.028355,-0.22896,-0.14721,-0.14721,-0.14721,-0.17234,-0.17234,-0.42066,-0.39129,-0.4806,-0.26264
