"","1p","1q","2p","2q","3p","3q","4p","4q","5p","5q","6p","6q","7p","7q","8p","8q","9p","9q","10p","10q","11p","11q","12p","12q","13q","14q","15q","16p","16q","17p","17q","18p","18q","19p","19q","20p","20q","21q","22q"
"MMRF_1082",-0.987,0.008,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.92,0,0,0,0,0,0,0,0,0,0
"MMRF_1092",0,0,0,0,0.947,0.947,0,0,1.862,1.862,0,0,0.93,0.93,0,0,1.841,1.841,0,0,1.527,0.93,0,0,0,0,1.883,0,0,0,0,0,0,0.787,0.787,0,0,0,-0.109
"MMRF_1325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1364",0,0,0,0,1.595,1.595,-0.202,-0.202,1.821,1.821,0,-0.121,1.709,1.709,0,-0.112,0.913,1.592,0,0,1.729,1.729,0,0,0,0,1.933,0.111,0,0,0,1.77,1.77,1.917,1.917,0,0,1.653,0
"MMRF_1383",0,0,0,0,0.247,0.676,-0.607,-0.607,0,0,0.686,0,0,0,-1.293,-0.644,0.664,0.664,-0.642,-0.642,0,0,-0.648,-0.648,-0.645,-0.637,0.709,-0.647,-0.647,-0.658,-0.658,0,0,0.579,-0.601,-0.64,-0.64,-0.667,0.891
"MMRF_1377",-0.763,0.115,0,0,0,0,-1.004,-1.004,0,0,0,0,0,0,-0.883,-0.883,0,0,0,0,0,0,0,0,-0.927,-0.932,0,-0.927,-0.927,0.113,0.113,0,0,0.128,0.128,0,0.104,0,-0.803
"MMRF_1360",0,0,0,0,0.878,0.878,-0.109,-0.109,0.946,0.946,0,0,0.921,0.921,0,0,2.004,2.004,0,0,0.961,0.961,0,0,-0.963,0,1.973,0,0,0,0,0,0,1.052,1.052,0,0,0,0
"MMRF_1371",0,0,0,0,0.95,0.95,0,0,0.956,0.956,1.34,-0.946,0.945,0.945,0,0,0.953,0.953,0,0,0.933,0.933,0,0,0,0,0.967,0,0,0,0,0.974,0.974,0.863,0.863,0,0,1.892,0
"MMRF_1089",0.959,0.959,1.79,0,0.953,0.953,0,0,0.895,0.895,0,0,0.925,0.925,-0.051,0.932,0.937,0.937,0,0,1.876,1.876,-0.741,0,0,0,2.139,0.888,0,0,0,0,0,1.713,1.713,0.721,0.721,0.932,0
"MMRF_1365",0,0,0,0,0,0,0,0,0,0,0,-0.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1356",0.979,0.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917,0,0,0,0,0,0,-0.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1270",0,0,0,0,0,0,-0.816,0,0,0,0,0,0,0,0,0,0,0,-0.977,-0.977,0,0,0,0,-0.984,-0.976,0,-0.973,-0.973,0,0,0,0,0,0,-0.986,-0.986,0,-0.93
"MMRF_1323",0,1.44,0,0,0,0,0,0,0.814,0.814,0.628,0.628,0,0,0,0,0.91,0.91,0,0,0,0,0,0,-0.895,0,0.569,-0.122,-0.122,-0.143,-0.143,0,0,-0.168,-0.168,0,0,0.843,-0.146
"MMRF_1180",0,1.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1188",-0.409,0,0,-0.306,0.276,0.276,-0.384,-0.384,0.764,0.764,0.272,0.272,0.241,0.241,-0.38,-0.38,0.908,0.908,-0.409,-0.409,0.259,0.259,-0.399,-0.399,-0.378,-0.399,0.252,-0.454,-0.454,-0.432,-0.432,-0.398,-0.398,0.718,0.718,-0.326,-0.326,0.224,-0.469
"MMRF_1300",0,1.928,0.965,0.965,0.969,0.969,0,0,0,0,1.006,0,0.961,0.961,0,0,1.05,1.05,0,0.13,0.533,0,0,0,-0.962,0,0.963,0,0,-0.111,-0.111,0,0,0.756,0.756,0,0,0,-0.123
"MMRF_1331",0,0,0,0,0.977,0.977,0,0,0.976,0.976,0,-0.866,0.96,0.96,0,0,1.002,1.002,0,0,0.975,0.975,0,0,-0.968,0,1.83,0,0,0,0,0,0,0.881,0.881,0,0,1.844,0
"MMRF_1185",-0.307,-0.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.446,-0.443,0,0,0,0,0,0,0,0,0,-0.22,-0.22,0,0
"MMRF_1348",-0.378,-0.378,-0.396,-0.396,0,0,0,0,0,0,0,0,0,0,-0.393,-0.393,0,0,0,0,0,0.85,0,0,-0.85,0,0,-0.425,-0.425,0,0,0,0,0,0,-0.418,-0.418,0,-0.501
"MMRF_1284",0,0,0,0,0.82,0.82,0,0,0.802,0.802,0,0,0,0,0,0,0.815,0.815,0,0,1.615,1.615,0,0,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0,0,0
"MMRF_1202",0,0.928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1466",0,0,0,0,0.975,0.975,0,0,0.981,0.981,0.97,0.97,0.957,0.957,0,0.782,0.986,1.676,0,0,1.867,1.867,0,0,0,0,0.943,0,-0.785,0,0,0,0,0.986,0.986,0.727,0.727,0,0
"MMRF_1446",0,0,0,0,0,0,0.135,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.973,0,-0.157,-0.157,-0.145,-0.145,0,0,-0.22,-0.22,-0.145,-0.145,0,-0.186
"MMRF_1447",-0.64,-0.64,0,0,0,0,-0.563,-0.563,0.131,0.787,0,0.113,0,0,-1.293,-1.293,0.766,0.766,-0.589,-0.589,0,0,-0.659,-0.659,-0.593,-0.623,1.329,0,-0.559,-0.726,-0.726,-0.606,-0.606,0.373,0.212,-0.704,-0.704,-0.631,-0.757
