"","1p","1q","2p","2q","3p","3q","4p","4q","5p","5q","6p","6q","7p","7q","8p","8q","9p","9q","10p","10q","11p","11q","12p","12q","13q","14q","15q","16p","16q","17p","17q","18p","18q","19p","19q","20p","20q","21q","22q"
"MMRF_1522",0,0,0,0,0,0.461,0,0,0.889,0.889,0.466,0,0.392,0.392,0,0,1.481,1.481,0,0,1.382,1.382,0,0,0,0,0.904,0,0,0,0,0,0,1.784,0,0,0,0.901,0
"MMRF_1531",0,0.984,0,0,0.969,0.969,0,0,0.953,0.953,0.633,0,0.98,0.98,0,0,0.967,0.967,0,0,0,0,0,0,-0.179,0,0.998,0,-0.86,0,0,0,0,0.905,0.905,0,0,0,0
"MMRF_1534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.551,0,0,0
"MMRF_1542",-0.151,-0.151,-0.127,-0.127,0.253,0.253,0,0,0,0,-0.304,-0.304,0,0,-0.269,0.128,0,0,0,0,1.005,1.005,-0.144,-0.144,0.118,0,-0.139,-0.198,-0.871,0,0.465,0,0,0,0,0,0,0.131,0
"MMRF_1550",0,0.773,0,0,0,0,0,0,0,0,0.997,0,0.984,0.984,0,0,1.976,1.976,0,0,0.993,0.993,0,0,0,0,0.997,0,-0.996,0,0,0.988,0.988,0.978,0.978,0,0,0.989,0
"MMRF_1560",0,0.202,0,0,0.949,0.949,0,0,0,0,0,0,0,0,-0.903,0,0,0,0,0,0,0,0,0,0,0,0.953,0,0,0,0,0,0,0.99,0.99,0,0,0,-0.94
"MMRF_1570",0,0,0,0,0,0,0.95,0.95,0,0,0,0,0,0,0,0,0.924,0.924,0,0,0,0.927,0,0,0,0,0,0,0,0,0,0,0,0.864,0.864,0,0,0,0
"MMRF_1573",0,0,0,0,0.935,0.935,0,0,0.933,0.933,0.931,0.931,0.924,0.924,0,0,0.93,0.93,0,0,0,0,0,0,0,0,0.924,0,0,0,0,1.876,1.876,0.892,0.892,0,0,0.924,0
"MMRF_1572",0,0,0,0,0.169,0.169,0,0,0.128,0.128,0,0,0,0,-0.925,-0.925,0,0,0,0,0,0,-0.599,-0.599,-0.94,-0.911,0,0,0,0,0,-0.914,-0.914,0,0,0,0,-0.913,0
"MMRF_1574",0,0,0,0,0.924,0.924,0,0,0.939,0.939,0,0,0.905,0.905,0,0,1.88,1.88,0,0,0.826,0.826,0,0,0,0,0.884,0,0,-0.127,-0.127,0,0,0.724,0.724,0.124,0.124,0.902,-0.16
"MMRF_1577",0,0,0,0,1.014,1.014,0,0,1.011,1.011,0,0,0.959,0.959,0,0,0.951,0.951,0,0,0.958,0.958,0,0,0,0,0,0,0,0.871,0.871,0,0,0.805,0.805,0,0,0.962,-0.117
"MMRF_1579",0,0.943,0,0,0.17,0.17,0,0,0,0,0.148,0.148,0,0,-0.169,0,0.951,0.951,0,0,0.181,0.181,0,0,0,0,0.192,0,0,0,0,0.152,0.152,0.891,0.891,0,0,0.141,-0.121
"MMRF_1580",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.897,0,0,0,0,0,0,0,0,0,0
"MMRF_1583",0,0,0,0,0,0,0,0,0,0,0.512,-0.464,0,0,-0.954,-0.954,0.944,0.944,0,0,0,0,-0.98,-0.98,-0.979,-0.982,0,0,0,0,0,0,0,0,-0.897,0,0,0,-0.997
"MMRF_1586",0,0.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1587",0,0.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.945,-0.945,0,0,0,0,-0.974,-0.988,0,0,0,0,0,0,0,0,0,0,0,0,-1.025
"MMRF_1589",0,0,0,0,0,0,0,0,0,0,0.433,-0.541,0,0,0,0,0.136,0.136,0,0,0.923,0.923,-0.41,-0.41,0,-0.55,0,0,0,0,0,0,0,0.396,0.396,0,0,0,0
"MMRF_1595",0.195,0.195,0,0,0,0,-0.173,-0.173,0,0,0,0,0,0,-0.865,0,0,0,0,0,0,0,0,0,-0.896,-0.868,0,0,-0.863,-0.87,-0.87,0,0,0,0,-0.154,0,0,-0.287
"MMRF_1593",-0.231,-0.231,0,0,0,0,-0.639,-0.639,0.582,0.582,0,0,0,0,-0.608,-0.608,0.603,0.603,0,0,0.623,0.623,-0.596,-0.596,-0.648,-0.641,0.716,-0.56,-0.56,0,0,-0.104,-0.104,0.58,0.58,0,0,0.604,-0.669
"MMRF_1596",-0.952,0,0,0,0,0,0,0,0.938,0.938,0,0,0,0,0,0,0.991,0.991,0.21,0.21,0.93,1.921,0,0,-0.973,0,1.872,0,-0.157,-0.956,0,0,0,1.137,1.137,-0.979,0,0,-0.973
"MMRF_1603",0,0.766,0.778,0.778,0.193,0.193,0,0,0.976,0.976,0,0,0,0,0,0,0.968,0.968,0,0,0.941,0.198,0,0,-0.767,0,0.99,0.117,0.117,0,0,0,0,0.943,0.943,0,0,0,0.923
"MMRF_1605",0,0,0,0,0,0,0,0,0.917,0.917,0,0,0,0,-0.948,-0.948,0,0,0,0,0,0,0,0,-0.954,-0.948,0,0,-0.898,0,0.94,0,0,0,0,0,0,0,0
"MMRF_1543",0,0,0,0,0,0,-0.653,-0.653,0,0,0,0,0,0,-0.64,-0.64,0.591,0,-0.652,-0.652,0,0,-0.657,-0.657,-0.645,-0.648,0.656,-0.674,-0.674,-0.658,-0.658,-0.647,-0.647,0.608,0.608,-0.645,-0.645,0,-0.649
"MMRF_1598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.005,0
"MMRF_1597",0,0,0,0,0,0,0,0,0.853,0.853,0,0,0,0,0,0,0.985,0.815,0,0,0.839,0.976,-0.26,-0.26,0,0,0.965,0,-0.939,0,0,0,0,0.84,0.84,0,0,0,-0.253
"MMRF_1613",0,0.921,0,0,1.015,1.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.992,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1614",0,0,0,0,0.995,0.995,0,0,0.988,0.988,0,0,0.979,0.979,0,0,0.963,0.963,0,0,0.968,0.968,0,0,0,0,0.973,0,-0.479,-0.295,0,0,0,1.796,1.796,0,0,1.955,0
"MMRF_1617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978,0.978,0,0,-0.985,0,0,0,-0.923,0,0,0,0,0.788,0.788,-0.922,0,0,-1.051
"MMRF_1621",0,0,0,0,0,0.955,0,0,0.938,0.938,0,0,0.938,0.938,-0.876,0,0.949,0.832,0,0,0.912,0.912,0,0,0,0,1.764,-0.118,-0.118,-0.972,-0.972,0,0,0.661,0.477,0,0,0,-0.181
"MMRF_1625",0.929,0.929,0,0,0.966,0.966,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0,0,0,0,0,0,0,0.925,0,-0.119,-0.119,0.756,0.756,0,0,0.619,0.619,-0.221,-0.221,0.118,-0.226
"MMRF_1634",0,0.929,0,0,0,0,0,0,0,0,0.101,0.101,0,0,0,0,0,0,-0.766,0,0,0,0,0,-0.944,0,0,1.07,1.07,0,0,0,0,0,0,0.13,0.13,0,0
"MMRF_1512",0,0,0,0,1.023,1.023,0,0,1.001,1.001,0,0,0,0,0,0,0.953,0.953,0,0,0,0,0,0,0,0,0.924,0,0,-0.111,-0.111,0,0,0.69,0.69,0,0,0,-0.146
"MMRF_1624",0.851,0.851,0,0,1.055,1.055,-0.865,0,0.941,0.941,0.871,-0.129,0.829,0.829,-0.414,0,0.924,0.924,0,0,0.908,0.908,0,0,-0.535,0.902,0.914,-0.13,-0.13,-0.102,0.648,0.915,0.915,1.371,0.769,0,0,0,-0.229
"MMRF_1627",0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.974,-0.989,0,0,0,0,0,-0.546,0,0,0,0,0,0,0
"MMRF_1630",-0.125,1.302,0,0,0.959,0.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.839,-0.141,-0.141,0,0,0.689,0.689,-0.103,-0.103,0,-0.185
"MMRF_1633",-0.811,0,0,0,0,0,0,0,0.996,0.996,0.36,-0.329,0.982,0.982,-0.399,0.278,1.404,1.404,0,0,0.961,0.961,0,0,0,0,1.938,0,0,0,0,0,0,0.87,0.87,0,0,0,0
"MMRF_1637",0,0.173,0.17,0,0,0,-0.39,-0.39,0,0,0,0,0,0,0,0,0,0,0,0,-1.293,-1.293,0,0,-0.476,0.152,0,0,0,-0.144,0,0,0,0.803,0,-0.383,-0.383,0,0
"MMRF_1639",0,0.976,0,0,0.924,0.924,0,0,0.946,0.946,0.916,0.916,0.93,0.93,0,0,1.279,1.279,0,0,0,0,0,0,-1.004,0,0.908,0,0,0.78,0.78,0.368,0.368,0.804,0.804,0,0,0,-0.124
"MMRF_1640",0,0,-0.582,-0.582,0,0,-0.614,-0.614,0,0,-0.621,-0.621,0.719,0.719,-0.634,-0.634,0,0,0,0,0,0,-0.624,-0.624,-1.293,-0.616,1.229,-0.601,-0.601,-0.586,-0.586,0,0,0.59,0.416,-0.586,-0.586,0.736,-0.572
"MMRF_1641",0,0,0.695,0,0.962,0.962,0,0,0.878,0.878,0,0,0.487,0.487,0.567,0.567,0.919,0.919,0,0,1.836,1.836,-0.198,0,-0.36,0,1.639,0.867,0,0,0,0.075,0.218,0.794,0.794,0,0,0.679,-0.36
"MMRF_1643",0,0,0,0,0,0,0,0,0.959,0.959,0,0,0.955,0.955,-0.755,0,0.954,0.954,0,0.893,0.959,0.959,0,0,0,0,1.689,0,0,0,0,0,0,1.684,1.118,0,0,0,0
"MMRF_1644",0,0.934,0,0,0,0,0,0,0.681,0.681,0,0,0,0,-0.994,0,0.948,0.948,0.768,0.768,0,0,0,0,-0.993,0,0.956,0,0,-0.693,0,0,0,0.848,0.848,0,0,0.953,0
"MMRF_1651",0,0,0,0,0,0,0,0,0.999,0.999,0.928,0.928,0.968,0.968,0,0,0.86,0.86,0.959,0.959,0,0,0.971,0.971,-0.973,0,0.949,0,0,0.794,0.794,0,0,0.889,0.889,0,0,0.97,-1.006
"MMRF_1652",0,0,0,0,0.152,0.152,0,0,0.96,0.96,0,0,0.935,0.935,-0.952,0,0.954,0.812,0,0,0,0,0,0,0,0,2.21,-0.14,-0.14,-0.174,-0.174,0,0,0.593,0.593,-0.184,-0.184,0.934,-0.202
"MMRF_1665",0,0,0,0,0.856,0.856,0,0,1.843,1.843,0,-0.904,0.907,0.907,-0.326,0.177,0.894,0.894,0,0,0.912,1.395,0,0,0,0,1.806,0,0,-0.849,0,0,0,0.826,0.826,0,0,0.911,0
"MMRF_1656",0.077,0.953,0,0,0,0,0,0,0.912,0.912,0,0,0,0,0,0,0.9,0.9,0,0,0.895,0.895,0,0,0,0,0.902,0.687,0,0,0,0.909,0.909,0.817,0.817,0,0,0,0
"MMRF_1664",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.888,0,-0.949,0,0,0,0,0,0,0,0,0,0,-0.894,0,0,-1
"MMRF_1668",-0.345,0.619,0,0,0.841,0,0,0,-0.852,0,0,-0.973,0,0,0,0,0,0,0,-0.333,0,0,-0.266,-0.266,-0.963,-0.971,0,0,0,-0.958,0,0.188,0.188,0,0,0,0,0,-0.332
"MMRF_1671",0,0.949,0,0,0,0,0.184,0.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1695",0,0,0,0,0,0,0,0,0.532,0.532,0.527,0.527,0.537,0.537,0,0,0,0,0,0,0.546,0.546,0,0,0,0,0.567,0,0,0.571,0.571,0.532,0.532,1.109,0,0,0,0,0
"MMRF_1683",0,1.807,0,0,0,0,0,0,0,0,0,0,0,0,-0.262,0,0,0,0,0,0,0,0,0,-0.977,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.016
"MMRF_1714",0,0,0,0,0.991,0.991,0,0,0.991,0.991,0,0,0.955,0.955,0,0,0.992,0.992,0,0,0,0,0,0,-0.975,0,0.943,0,0,0,0,0,0,0.826,0.826,0,0,0,0
"MMRF_1730",0,0,0,0,0,0,0,0,0.925,0.925,0,-0.941,0,0,0,0,0.925,0.925,0,0,0.923,0.923,0,0,0,0,0.931,0,0,0,0,0,0,0.827,0.827,0.802,0,0.934,0
"MMRF_1758",-0.606,0,0,0,0,0,-0.624,-0.624,0.72,0.72,0,-0.531,0,0,-1.293,-1.293,0.696,0.696,0,0,0,0,-0.637,-0.637,-0.631,-0.634,0.699,-0.662,-0.662,-0.67,-0.67,-0.632,-0.632,0.55,0,0,0,-0.63,-0.677
"MMRF_1721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.98,0,-0.973,-0.315,0,0,0,-0.498,0,0,0,0,0,0,0,0,0
"MMRF_1648",0,-0.101,0,0,0,0,-0.572,-0.572,0,0,0,-0.646,0,0,-0.68,-0.68,0,0.683,-0.641,-0.641,0.669,0.669,-0.646,-0.646,-0.638,-0.638,1.31,-0.657,-0.657,-0.653,-0.653,0,0,0.621,0.621,-0.653,-0.653,0.668,-0.651
"MMRF_1677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1744",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.979,0.238,0,0,0,0,0,0,-0.079,0.158,-0.985,0,0,0,0,-0.985,-0.985,-0.989,0,0,0,0,0,0,0
"MMRF_1735",0,0,0,0,0.963,0.963,0,0,0.96,0.96,0,0,0.948,0.948,0,0,1.889,1.889,0,0,1.876,1.876,0,0,0,0,1.877,0,0,0,0,0,0,0.865,0.865,0,0,0.948,0
"MMRF_1739",0,0,0,0,0.967,0.967,0,0,0.957,0.957,0,0,0.946,0.946,-0.961,0,0.95,0.95,0,0,0.959,0.959,0,0,0,0,1.927,0,0,0,0,0,0,1.801,0.917,0,0,1.911,0.936
"MMRF_1694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.954,-0.954,-0.953,-0.952,0,0,-0.118,0,0,0,0,0,0,0,0,0,-0.963
"MMRF_1713",0,0,0,0,0.958,0.958,0,0,1.894,0.959,0,-0.954,0.945,0.945,0,0,0.941,0.941,0,0,1.899,0.951,0,0,-0.957,0,1.91,0,0,0,0,0,0,0.911,0.911,0,0,0.964,0
"MMRF_1722",0,0.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1659",-0.198,0.234,0.334,-0.201,0.669,0.669,-0.231,-0.231,0.65,0.65,0.593,-0.16,0,0.114,-0.135,-0.135,0.649,0.649,-0.238,-0.238,0.82,0.82,-0.228,-0.228,-0.248,0.529,2.436,-0.234,-0.234,-0.229,-0.229,0.746,0.746,1.49,1.49,0,0,-0.247,-0.216
"MMRF_1689",0,0,0.859,0.859,0.89,0.89,0,0,0.833,0.833,0,0,0.855,0.855,0,0.839,0.888,0.888,0,0,0,1.044,0,0,-0.974,-0.965,1.83,0,0,0,0,0,0,1.8,1.8,0,0,0,0
"MMRF_1645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981,0.981,0,0,0,0.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1720",0,0,0,0,0,0,0,0,0.997,0.997,0,0,0,0,0,0,1.034,1.034,0,0,0,0,0,0,0,0,0.965,0,0,0,0,0,0,0.438,0.438,0,0,0.976,0
"MMRF_1715",0,0.993,0,0,0,0,0,0,0,0,0,0,0,0,-0.687,0,0,0,0,0,0,0,0,0,-0.867,0,0,0,-0.917,0,0,0,0,0.8,0,0,0,0,-0.793
"MMRF_1726",0,0.968,0,0,0,0,0.985,0.985,0.981,0.981,0,0,0.958,0.958,-0.035,0.953,1.959,1.959,0,0,0,0,0,0,-0.981,0,0,-0.112,-0.99,0,0,0,0,0.878,0.878,0,0,0,0
"MMRF_1523",0,0.959,0,0,0,0,0,0,0,0,0,0,0,0,-1.003,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.965,0,0,0,0,0,0,0,0,0,0
"MMRF_1670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.605,0,0,0,0,0,0,0,0,0,0
"MMRF_1672",0,0,0.975,0.975,0.978,0.978,0,0,0.979,0.979,0,0,0.972,0.972,0,0,0.969,0.969,0,0,0.967,0.967,0,0,0,-0.994,0.973,0,0,0,0,0,0,0.929,0.929,0.542,0.952,1.969,0
"MMRF_1719",0,0,0,0,0,0,0,0,0.997,0.997,0,0,0,0,0,0,0.966,0.966,0,0,1.917,1.917,0,0,0,0,1.935,0,0,0,0,0,0,0.801,0.801,0,0,0,0
"MMRF_1733",0,0,0,0,0.872,0.872,0,0,0.871,0.871,0,0,0.882,0.882,0,0,0.919,0.919,0,0,1.802,1.802,0,0,0,0,0.912,0,0,0.945,0.945,0,0,1.1,1.1,0,0,0,0
"MMRF_1736",0,0,0,0,0,0,0,0,0.978,0.978,0,0,0,0,-0.992,-0.992,0,0,0,0,0.988,0,0,0,-0.991,0,0,0,0,0,0,0,0,1.128,0,0,0,0,-0.982
"MMRF_1750",0,0,0,0,1.015,1.015,0,0,0,0,0.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.94
"MMRF_1768",-0.656,0,0,0,0,0,-0.642,-0.642,0,0,0.641,0.028,0,0,-0.647,-0.647,0,0,-0.651,-0.651,0,0,0,0,-0.641,-0.647,0,-1.293,-1.293,0,0,-0.632,-0.632,0,0,-0.663,-0.663,-0.646,-0.677
"MMRF_1771",0,1.875,0.917,0.917,1.238,1.429,0,0,0.905,0.905,0,0,0.93,0.93,-0.607,1.137,0.89,0.89,0,0,0,0,0,0,0,0,0.894,0,0,0.104,0.104,0,0,0.906,0.906,0.404,0.906,0.924,0
"MMRF_1773",0,0,0,0,-0.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1775",0,0,0,0,0,0,0,0,0.891,0.891,0,0,0,0,0,0,0.878,0.878,0,0,0.88,0.88,0,0,0,0,1.767,0,0,0,0,0,0,0.806,0.806,0,0,0,0
"MMRF_1777",0,0,0,0,0,0,0,0,0.711,0.711,0.71,0.71,0.684,0.684,0,0,0.672,0.672,0,0,0,0,0,0,0,0,0.682,0,0,0,0,0.704,0.704,0.545,0.545,0,0,1.379,-0.101
"MMRF_1778",0.891,0.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1782",0,0,0,0,0,0,-0.13,0,0,0,0,0,0,0,0,0,0.954,0.954,0,0,0,0,0,0,-0.948,-0.955,0,0,0,0,0,0,0,0,0,0,0,-0.959,0
"MMRF_1785",0,1.885,0.96,0,0,0,0,0,0,0,0.938,0,0,0,-0.993,0,0,0,0,0,0,0,0,0,-0.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1787",0,0.94,0,0,0,0,0,0,0,0,0.944,-0.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1792",0,0,0,0,0,0,0,0,0.99,0.99,0,-0.94,0.957,0.957,-0.91,0,0.947,0.947,0,0,0.938,0.938,0,0,0,0,1.923,0,-0.823,0,0,0,0,0.933,0.933,0,0,0.99,0
"MMRF_1793",0,0,0,0,0.933,0.933,0.957,0.957,0.937,0.937,0,0,0.926,0.926,0,0,0.914,0.914,0,0,0,0,0,0,0,0,1.842,0,0,0,0,0,0,0.805,0.805,0,0,0,0
"MMRF_1797",0.95,0.95,0,0,0,0,0,0,0,0,0,-0.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1795",-0.639,0,0,0,0,0,-0.662,-0.662,0,0,0,-0.651,0,0,-0.684,-0.684,0.666,0.666,-0.661,-0.661,0,0,-0.661,-0.661,-0.661,-1.293,0.666,-0.665,-0.665,-0.662,-0.662,0,0,0.641,0,-0.654,-0.654,0.677,-0.659
"MMRF_1796",0,0,0,0,0,0,0,0,0,0,0,0,0,0.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.929,0.917,0.917,0,0,1.816,0,0,0,0,0
"MMRF_1802",0,0,0,0,0.973,1.544,0.977,0.977,0.973,0.973,0,0,0.976,0.976,0,0,0.964,0.964,0,0,0.97,0.97,0,0,0,0,0.969,0,0,0,0,0,0,1.883,1.883,0,0,0,0
"MMRF_1808",0,0,0,0,0.918,0.918,0,0,0,0,0,0,0,0,0,0,0.891,0.891,0,0,0.9,1.814,0,0,0,0,0,0,0,0,0,0,0,0.813,0.813,0,0,0,0
"MMRF_1810",0,0.932,0,0,0.102,0,0,0,1.053,1.053,0,0,0.939,0.939,0,0,0.951,0.951,0,0,0,0,0,0,-0.996,0,0,0,-0.96,0,0,0,0,0.89,0.89,0,0,0,0
"MMRF_1815",0.847,0.847,0,-0.398,0,0.96,0,0,0,0,0,0,0,0,-0.972,0,0,0,-0.944,0,0,0,0,0,-0.957,0,0.225,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1823",0,0,0,0,0,0,0,0,0,0,0,-0.527,0,0,0,0,0,0,0,0,0,0,0,0,-0.952,-0.954,0,0,0,0,0,0,0,0.532,0.532,0,0,-0.948,0
"MMRF_1825",0,0.98,0,0,0.978,0.978,0.977,0.977,0,0,0.977,0.977,0,0,0,0,0,0,0,0,0.979,0.979,0,0,-0.984,0,0.984,0,0,0,0,0,0,0.947,0,0,0,0,0
"MMRF_1830",1.129,1.129,0,0,0,0,0,0,0,0,0.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103,-0.103,-0.961,0,0,0
"MMRF_1831",-0.904,0,0,0,0.925,0.925,0,0,0.708,0.708,0,0,0.178,0.178,0,0,0.698,1.559,0,0,1.785,1.785,0,0,0,0,1.015,0,-0.685,-0.731,0,-0.916,0,1.59,1.59,0,0,0.914,0
"MMRF_1423",0,0,0,0,0.94,0.94,0,0,0,0.956,0.998,0.998,0.971,0.971,0,0,0.994,0.994,0,0,0.987,0.987,-0.954,0,0,0,1.007,0,0,0,0.965,0,0,1.035,1.035,0,0,1,0
"MMRF_1700",0,0,0,0,0,0,0,0,0.954,0.954,0,0,0,0,0,0,-0.884,0.919,0,0,0.992,0.992,0,-0.917,-0.818,0,1.844,0,0,0,0,0,0,0.824,0.824,0,0,0,0
"MMRF_1786",0,0,0,0,0,0,0,0,1.004,1.004,0,0,0,0,0,0,0.934,0.934,0,0,0.9,0.9,0,0,-0.971,0,1.883,0,0,-0.104,-0.104,0,0,0.746,0.746,0,0,0.671,-0.14
"MMRF_1801",0.961,0.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0
"MMRF_1832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.99,0,0,0,-0.994,0,0,0,0,0,0,0,0,0,0
"MMRF_1835",0.111,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1783",-0.691,0.13,0,0,0,0,0,0,0,0,0,0,0,0,-0.375,0,0,0,0,0,0,-0.116,-0.368,0,-0.97,0,0,0,0,0,0,0,0,0,0,-0.133,0,0,0
"MMRF_1766",0,0,0,0,0.976,0.976,0.94,0.94,0.993,0.993,0,0,0,0,0,0,1.169,1.169,0,0,0,0,0,0,0,0,0.96,0,0.579,0,0,0,0,0.86,0.86,0,0,0.972,0
"MMRF_1817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996,0,0,-0.992,0,0,-0.148,-0.148,0,0,0,0,0,0,0,0,0,0
"MMRF_1837",0,0,-0.394,-0.394,-0.385,-0.385,-0.395,-0.395,0,0,0,0,0,0,-0.235,-0.235,0,0,0,0,0,0.998,0,0,-0.944,0,0,-0.413,-0.413,-0.413,-0.413,0,0,0,0,0,0,0,-0.29
"MMRF_1845",0.864,0.864,0,0,0.172,0.172,0,0,0,0,0,0,0,0,-0.415,0.113,0.131,0.131,0,0,0,0,0,0,-0.452,0,0,-0.139,-0.139,-0.13,-0.13,-0.477,0,-0.184,-0.184,-0.298,-0.298,0,-0.209
"MMRF_1854",0,0.622,0,0,0.879,0.879,0,0,0.797,0.413,0.868,-0.017,0.876,0.876,0,0,0.859,0.859,0.214,0.214,1.726,1.726,-0.339,0,-0.891,0,1.733,0,-0.845,0.814,0.814,0.879,0.879,1.609,1.609,0,0,0,0
"MMRF_1855",0.563,0.783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.985,0,0,-1.004,-1.004,0,0,0,0,-0.135,-0.135,0,0,0,-1.058
"MMRF_1860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1867",0,0,0,0,0.932,0.932,0,0,0,0,0,0,0,0,-0.663,0,0.949,0.949,0,0,0,0,0,0,0,0,1.909,0,0,0,0,0.899,0.899,0.795,0.795,0,0,0.937,-0.206
"MMRF_1876",0,0.914,0,0,0.315,0.918,0,0,0,0,0,0,0.937,0.937,-0.554,0.2,0,0,0,0,0.661,0.661,0,0,-0.973,0,0.936,0,0,0,0,0.932,0.932,0.791,0.791,0,0,0.957,-0.104
"MMRF_1565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873,0.873,0,0,0,0.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548,0,0,0,0,0,0,-0.61,-0.602,0,0,0,-0.606,0,0,0,0,0,0,0,0,0
"MMRF_1759",0,0,0,0,0.92,0.92,0,0,0.732,0.732,0,-0.95,0,0,0,0,0.991,0.991,0,0,1.034,1.034,0,0,0,0,1.001,0,0,0,0,-0.234,0.472,1.026,1.026,0,0,0,0
"MMRF_1842",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.999,0,0,0,0,0,0,0,0,0.827,0,0,-0.976,0,0
